event_id,step,rank,objectives_json,violation,worker_types_json,routes_json,repairs_json
1,1,0,"[-35.0,-10.0]",,"[""Dragon"",""Dragon"",""Dragon"",""Dragon"",""Dragon"",""Dragon"",""Dragon"",""Dragon"",""Dragon"",""Dragon""]",,
1,1,1,"[-35.0,-10.0]",,"[""Dragon"",""Dragon"",""Dragon"",""Dragon"",""Dragon"",""Dragon"",""Dragon"",""Dragon"",""Dragon"",""Dragon""]",,
1,1,2,"[-70.0,-0.0]",,"[""QWDH"",""QWDH"",""QWDH"",""TWSH"",""TWSH"",""TWSH"",""TWSH"",""TWSH"",""QWDH"",""QWDH""]",,
1,1,3,"[-70.0,-0.0]",,"[""QWDH"",""QWDH"",""QWDH"",""TWSH"",""TWSH"",""TWSH"",""TWSH"",""TWSH"",""QWDH"",""QWDH""]",,
1,1,4,"[-67.0,-2.0]",,"[""QWDH"",""QWDH"",""QWDH"",""TWSH"",""TWSH"",""QWDH"",""Dragon"",""QWDH"",""QWDH"",""Dragon""]",,
1,1,5,"[-68.0,-1.0]",,"[""QWDH"",""QWDH"",""QWDH"",""TWSH"",""TWSH"",""TWSH"",""QWDH"",""Minimal"",""QWDH"",""QWDH""]",,
1,1,6,"[-39.5,-9.0]",,"[""Dragon"",""QWDH"",""Dragon"",""Dragon"",""Dragon"",""Dragon"",""Dragon"",""Dragon"",""Dragon"",""Dragon""]",,
1,1,7,"[-39.5,-9.0]",,"[""Dragon"",""QWDH"",""Dragon"",""Dragon"",""Dragon"",""Dragon"",""Dragon"",""Dragon"",""Dragon"",""Dragon""]",,
1,1,8,"[-44.0,-8.0]",,"[""Dragon"",""QWDH"",""Dragon"",""Dragon"",""Dragon"",""Dragon"",""Dragon"",""QWDH"",""Dragon"",""Dragon""]",,
1,1,9,"[-44.0,-8.0]",,"[""Dragon"",""QWDH"",""Dragon"",""Dragon"",""Dragon"",""Dragon"",""Dragon"",""QWDH"",""Dragon"",""Dragon""]",,
1,1,10,"[-48.5,-7.0]",,"[""Dragon"",""QWDH"",""Dragon"",""Dragon"",""Dragon"",""QWDH"",""Dragon"",""QWDH"",""Dragon"",""Dragon""]",,
1,1,11,"[-48.5,-7.0]",,"[""Dragon"",""QWDH"",""QWDH"",""Dragon"",""Dragon"",""Dragon"",""Dragon"",""QWDH"",""Dragon"",""Dragon""]",,
1,1,12,"[-53.0,-6.0]",,"[""Dragon"",""QWDH"",""QWDH"",""Dragon"",""Dragon"",""QWDH"",""Dragon"",""QWDH"",""Dragon"",""Dragon""]",,
1,1,13,"[-53.0,-6.0]",,"[""Dragon"",""QWDH"",""QWDH"",""Dragon"",""Dragon"",""QWDH"",""Dragon"",""QWDH"",""Dragon"",""Dragon""]",,
1,1,14,"[-57.5,-5.0]",,"[""Dragon"",""QWDH"",""QWDH"",""Dragon"",""Dragon"",""QWDH"",""Dragon"",""QWDH"",""QWDH"",""Dragon""]",,
1,1,15,"[-57.5,-5.0]",,"[""Dragon"",""QWDH"",""Dragon"",""Dragon"",""Dragon"",""QWDH"",""Dragon"",""QWDH"",""QWDH"",""QWDH""]",,
1,1,16,"[-62.0,-4.0]",,"[""Dragon"",""QWDH"",""QWDH"",""QWDH"",""Dragon"",""QWDH"",""Dragon"",""QWDH"",""QWDH"",""Dragon""]",,
1,1,17,"[-62.0,-4.0]",,"[""QWDH"",""QWDH"",""QWDH"",""Dragon"",""Dragon"",""QWDH"",""Dragon"",""QWDH"",""QWDH"",""Dragon""]",,
1,1,18,"[-65.0,-3.0]",,"[""QWDH"",""QWDH"",""QWDH"",""Dragon"",""QWDH"",""Minimal"",""Dragon"",""QWDH"",""QWDH"",""QWDH""]",,
1,1,19,"[-65.0,-3.0]",,"[""QWDH"",""QWDH"",""QWDH"",""Dragon"",""Minimal"",""QWDH"",""Dragon"",""QWDH"",""QWDH"",""QWDH""]",,
2,251,0,"[-16.0,-6.0]",,"[null,null,""QWDH"",null,null,""TWSH"",""Minimal"",null,null,null]",,
2,251,1,"[-16.0,-6.0]",,"[null,null,""QWDH"",null,null,""TWSH"",""Minimal"",null,null,null]",,
2,251,2,"[-16.0,-6.0]",,"[null,null,""QWDH"",null,null,""TWSH"",""Minimal"",null,null,null]",,
2,251,3,"[-16.0,-6.0]",,"[null,null,""QWDH"",null,null,""TWSH"",""Minimal"",null,null,null]",,
2,251,4,"[-16.0,-6.0]",,"[null,null,""QWDH"",null,null,""TWSH"",""Minimal"",null,null,null]",,
2,251,5,"[-16.0,-6.0]",,"[null,null,""QWDH"",null,null,""TWSH"",""Minimal"",null,null,null]",,
2,251,6,"[-16.0,-6.0]",,"[null,null,""QWDH"",null,null,""TWSH"",""Minimal"",null,null,null]",,
2,251,7,"[-16.0,-6.0]",,"[null,null,""QWDH"",null,null,""TWSH"",""Minimal"",null,null,null]",,
2,251,8,"[-16.0,-6.0]",,"[null,null,""QWDH"",null,null,""TWSH"",""Minimal"",null,null,null]",,
2,251,9,"[-16.0,-6.0]",,"[null,null,""QWDH"",null,null,""TWSH"",""Minimal"",null,null,null]",,
2,251,10,"[-16.0,-6.0]",,"[null,null,""QWDH"",null,null,""TWSH"",""Minimal"",null,null,null]",,
2,251,11,"[-16.0,-6.0]",,"[null,null,""QWDH"",null,null,""TWSH"",""Minimal"",null,null,null]",,
2,251,12,"[-16.0,-6.0]",,"[null,null,""QWDH"",null,null,""TWSH"",""Minimal"",null,null,null]",,
2,251,13,"[-16.0,-6.0]",,"[null,null,""QWDH"",null,null,""TWSH"",""Minimal"",null,null,null]",,
2,251,14,"[-16.0,-6.0]",,"[null,null,""QWDH"",null,null,""TWSH"",""Minimal"",null,null,null]",,
2,251,15,"[-16.0,-6.0]",,"[null,null,""QWDH"",null,null,""TWSH"",""Minimal"",null,null,null]",,
2,251,16,"[-16.0,-6.0]",,"[null,null,""QWDH"",null,null,""TWSH"",""Minimal"",null,null,null]",,
2,251,17,"[-16.0,-6.0]",,"[null,null,""QWDH"",null,null,""TWSH"",""Minimal"",null,null,null]",,
2,251,18,"[-16.0,-6.0]",,"[null,null,""QWDH"",null,null,""TWSH"",""Minimal"",null,null,null]",,
2,251,19,"[-16.0,-6.0]",,"[null,null,""QWDH"",null,null,""TWSH"",""Minimal"",null,null,null]",,
