event_id,step,rank,objectives_json,violation,worker_types_json,routes_json,repairs_json
1,1,0,"[-35.0,-10.0]",,"[""Dragon"",""Dragon"",""Dragon"",""Dragon"",""Dragon"",""Dragon"",""Dragon"",""Dragon"",""Dragon"",""Dragon""]",,
1,1,1,"[-35.0,-10.0]",,"[""Dragon"",""Dragon"",""Dragon"",""Dragon"",""Dragon"",""Dragon"",""Dragon"",""Dragon"",""Dragon"",""Dragon""]",,
1,1,2,"[-53.5,-0.0]",,"[""Dragon"",""QWDH"",""QWDH"",""QWDH"",""Dragon"",""TWSH"",""QWDH"",""QWDH"",""QWDH"",""QWDH""]",,
1,1,3,"[-53.5,-0.0]",,"[""Dragon"",""QWDH"",""QWDH"",""QWDH"",""Dragon"",""TWSH"",""QWDH"",""QWDH"",""QWDH"",""QWDH""]",,
1,1,4,"[-52.5,-2.0]",,"[""Dragon"",""QWDH"",""QWDH"",""QWDH"",""Dragon"",""QWDH"",""Dragon"",""QWDH"",""QWDH"",""QWDH""]",,
1,1,5,"[-37.5,-9.0]",,"[""Dragon"",""QWDH"",""Dragon"",""Dragon"",""Dragon"",""Dragon"",""Dragon"",""Dragon"",""Dragon"",""Dragon""]",,
1,1,6,"[-37.5,-9.0]",,"[""Dragon"",""Dragon"",""Dragon"",""QWDH"",""Dragon"",""Dragon"",""Dragon"",""Dragon"",""Dragon"",""Dragon""]",,
1,1,7,"[-40.0,-8.0]",,"[""Dragon"",""QWDH"",""Dragon"",""Dragon"",""Dragon"",""Dragon"",""QWDH"",""Dragon"",""Dragon"",""Dragon""]",,
1,1,8,"[-40.0,-8.0]",,"[""Dragon"",""Dragon"",""Dragon"",""QWDH"",""Dragon"",""QWDH"",""Dragon"",""Dragon"",""Dragon"",""Dragon""]",,
1,1,9,"[-42.5,-7.0]",,"[""Dragon"",""QWDH"",""Dragon"",""Dragon"",""QWDH"",""Dragon"",""QWDH"",""Dragon"",""Dragon"",""Dragon""]",,
1,1,10,"[-42.5,-7.0]",,"[""Dragon"",""QWDH"",""QWDH"",""Dragon"",""Dragon"",""Dragon"",""Dragon"",""Dragon"",""QWDH"",""Dragon""]",,
1,1,11,"[-45.0,-6.0]",,"[""Dragon"",""QWDH"",""QWDH"",""Dragon"",""Dragon"",""QWDH"",""Dragon"",""QWDH"",""Dragon"",""Dragon""]",,
1,1,12,"[-45.0,-6.0]",,"[""Dragon"",""QWDH"",""QWDH"",""Dragon"",""Dragon"",""QWDH"",""Dragon"",""QWDH"",""Dragon"",""Dragon""]",,
1,1,13,"[-47.5,-5.0]",,"[""Dragon"",""QWDH"",""QWDH"",""QWDH"",""Dragon"",""Dragon"",""Dragon"",""QWDH"",""Dragon"",""QWDH""]",,
1,1,14,"[-47.5,-5.0]",,"[""Dragon"",""QWDH"",""QWDH"",""Dragon"",""Dragon"",""QWDH"",""Dragon"",""QWDH"",""Dragon"",""QWDH""]",,
1,1,15,"[-50.0,-4.0]",,"[""Dragon"",""QWDH"",""Dragon"",""QWDH"",""Dragon"",""QWDH"",""QWDH"",""QWDH"",""QWDH"",""Dragon""]",,
1,1,16,"[-51.0,-3.0]",,"[""QWDH"",""QWDH"",""TWSH"",""QWDH"",""Dragon"",""Dragon"",""QWDH"",""QWDH"",""QWDH"",""Dragon""]",,
1,1,17,"[-50.0,-4.0]",,"[""Dragon"",""QWDH"",""QWDH"",""QWDH"",""QWDH"",""QWDH"",""QWDH"",""Dragon"",""Dragon"",""Dragon""]",,
1,1,18,"[-51.0,-3.0]",,"[""Dragon"",""QWDH"",""QWDH"",""QWDH"",""Dragon"",""TWSH"",""Dragon"",""QWDH"",""QWDH"",""QWDH""]",,
1,1,19,"[-52.5,-2.0]",,"[""Dragon"",""QWDH"",""QWDH"",""QWDH"",""Dragon"",""QWDH"",""Dragon"",""QWDH"",""QWDH"",""QWDH""]",,
2,251,0,"[-12.0,-6.0]",,"[null,""Minimal"",""Minimal"",""Minimal"",null,null,null,""Minimal"",""Minimal"",""Minimal""]",,
2,251,1,"[-12.0,-6.0]",,"[null,""Minimal"",""Minimal"",""Minimal"",null,null,null,""Minimal"",""Minimal"",""Minimal""]",,
2,251,2,"[-12.0,-6.0]",,"[null,""Minimal"",""Minimal"",""Minimal"",null,null,null,""Minimal"",""Minimal"",""Minimal""]",,
2,251,3,"[-12.0,-6.0]",,"[null,""Minimal"",""Minimal"",""Minimal"",null,null,null,""Minimal"",""Minimal"",""Minimal""]",,
2,251,4,"[-12.0,-6.0]",,"[null,""Minimal"",""Minimal"",""Minimal"",null,null,null,""Minimal"",""Minimal"",""Minimal""]",,
2,251,5,"[-12.0,-6.0]",,"[null,""Minimal"",""Minimal"",""Minimal"",null,null,null,""Minimal"",""Minimal"",""Minimal""]",,
2,251,6,"[-12.0,-6.0]",,"[null,""Minimal"",""Minimal"",""Minimal"",null,null,null,""Minimal"",""Minimal"",""Minimal""]",,
2,251,7,"[-12.0,-6.0]",,"[null,""Minimal"",""Minimal"",""Minimal"",null,null,null,""Minimal"",""Minimal"",""Minimal""]",,
2,251,8,"[-12.0,-6.0]",,"[null,""Minimal"",""Minimal"",""Minimal"",null,null,null,""Minimal"",""Minimal"",""Minimal""]",,
2,251,9,"[-12.0,-6.0]",,"[null,""Minimal"",""Minimal"",""Minimal"",null,null,null,""Minimal"",""Minimal"",""Minimal""]",,
2,251,10,"[-12.0,-6.0]",,"[null,""Minimal"",""Minimal"",""Minimal"",null,null,null,""Minimal"",""Minimal"",""Minimal""]",,
2,251,11,"[-12.0,-6.0]",,"[null,""Minimal"",""Minimal"",""Minimal"",null,null,null,""Minimal"",""Minimal"",""Minimal""]",,
2,251,12,"[-12.0,-6.0]",,"[null,""Minimal"",""Minimal"",""Minimal"",null,null,null,""Minimal"",""Minimal"",""Minimal""]",,
2,251,13,"[-12.0,-6.0]",,"[null,""Minimal"",""Minimal"",""Minimal"",null,null,null,""Minimal"",""Minimal"",""Minimal""]",,
2,251,14,"[-12.0,-6.0]",,"[null,""Minimal"",""Minimal"",""Minimal"",null,null,null,""Minimal"",""Minimal"",""Minimal""]",,
2,251,15,"[-12.0,-6.0]",,"[null,""Minimal"",""Minimal"",""Minimal"",null,null,null,""Minimal"",""Minimal"",""Minimal""]",,
2,251,16,"[-12.0,-6.0]",,"[null,""Minimal"",""Minimal"",""Minimal"",null,null,null,""Minimal"",""Minimal"",""Minimal""]",,
2,251,17,"[-12.0,-6.0]",,"[null,""Minimal"",""Minimal"",""Minimal"",null,null,null,""Minimal"",""Minimal"",""Minimal""]",,
2,251,18,"[-12.0,-6.0]",,"[null,""Minimal"",""Minimal"",""Minimal"",null,null,null,""Minimal"",""Minimal"",""Minimal""]",,
2,251,19,"[-12.0,-6.0]",,"[null,""Minimal"",""Minimal"",""Minimal"",null,null,null,""Minimal"",""Minimal"",""Minimal""]",,
