event_id,step,rank,objectives_json,violation,worker_types_json,routes_json,repairs_json
1,1,0,"[-35.0,-20.0]",,"[""Dragon"",""Dragon"",""Dragon"",""Dragon"",""Dragon"",""Dragon"",""Dragon"",""Dragon"",""Dragon"",""Dragon""]",,
1,1,1,"[-35.0,-20.0]",,"[""Dragon"",""Dragon"",""Dragon"",""Dragon"",""Dragon"",""Dragon"",""Dragon"",""Dragon"",""Dragon"",""Dragon""]",,
1,1,2,"[-47.5,-0.0]",,"[""QWDH"",""QWDH"",""Dragon"",""QWDH"",""QWDH"",""QWDH"",""Dragon"",""Dragon"",""Dragon"",""Dragon""]",,
1,1,3,"[-47.5,-0.0]",,"[""QWDH"",""QWDH"",""QWDH"",""Dragon"",""QWDH"",""Dragon"",""QWDH"",""Dragon"",""Dragon"",""Dragon""]",,
1,1,4,"[-46.0,-2.0]",,"[""QWDH"",""QWDH"",""QWDH"",""Dragon"",""QWDH"",""Dragon"",""TWSH"",""Dragon"",""Dragon"",""Dragon""]",,
1,1,5,"[-36.0,-18.0]",,"[""Dragon"",""Dragon"",""Dragon"",""Dragon"",""Dragon"",""TWSH"",""Dragon"",""Dragon"",""Dragon"",""Dragon""]",,
1,1,6,"[-37.5,-16.0]",,"[""QWDH"",""Dragon"",""Dragon"",""Dragon"",""Dragon"",""Dragon"",""Dragon"",""Dragon"",""Dragon"",""Dragon""]",,
1,1,7,"[-38.5,-14.0]",,"[""QWDH"",""TWSH"",""Dragon"",""Dragon"",""Dragon"",""Dragon"",""Dragon"",""Dragon"",""Dragon"",""Dragon""]",,
1,1,8,"[-40.0,-12.0]",,"[""QWDH"",""Dragon"",""QWDH"",""Dragon"",""Dragon"",""Dragon"",""Dragon"",""Dragon"",""Dragon"",""Dragon""]",,
1,1,9,"[-41.0,-10.0]",,"[""QWDH"",""TWSH"",""Dragon"",""Dragon"",""Dragon"",""QWDH"",""Dragon"",""Dragon"",""Dragon"",""Dragon""]",,
1,1,10,"[-42.5,-8.0]",,"[""QWDH"",""Dragon"",""QWDH"",""Dragon"",""QWDH"",""Dragon"",""Dragon"",""Dragon"",""Dragon"",""Dragon""]",,
1,1,11,"[-43.5,-6.0]",,"[""QWDH"",""TWSH"",""Dragon"",""Dragon"",""QWDH"",""QWDH"",""Dragon"",""Dragon"",""Dragon"",""Dragon""]",,
1,1,12,"[-45.0,-4.0]",,"[""QWDH"",""QWDH"",""QWDH"",""Dragon"",""QWDH"",""Dragon"",""Dragon"",""Dragon"",""Dragon"",""Dragon""]",,
1,1,13,"[-36.0,-18.0]",,"[""Dragon"",""Dragon"",""Dragon"",""Dragon"",""Dragon"",""Dragon"",""Dragon"",""TWSH"",""Dragon"",""Dragon""]",,
1,1,14,"[-37.5,-16.0]",,"[""Dragon"",""QWDH"",""Dragon"",""Dragon"",""Dragon"",""Dragon"",""Dragon"",""Dragon"",""Dragon"",""Dragon""]",,
1,1,15,"[-38.5,-14.0]",,"[""QWDH"",""TWSH"",""Dragon"",""Dragon"",""Dragon"",""Dragon"",""Dragon"",""Dragon"",""Dragon"",""Dragon""]",,
1,1,16,"[-40.0,-12.0]",,"[""Dragon"",""Dragon"",""Dragon"",""QWDH"",""Dragon"",""QWDH"",""Dragon"",""Dragon"",""Dragon"",""Dragon""]",,
1,1,17,"[-41.0,-10.0]",,"[""QWDH"",""TWSH"",""Dragon"",""Dragon"",""QWDH"",""Dragon"",""Dragon"",""Dragon"",""Dragon"",""Dragon""]",,
1,1,18,"[-42.5,-8.0]",,"[""Dragon"",""QWDH"",""Dragon"",""QWDH"",""QWDH"",""Dragon"",""Dragon"",""Dragon"",""Dragon"",""Dragon""]",,
1,1,19,"[-43.5,-6.0]",,"[""QWDH"",""QWDH"",""Dragon"",""Dragon"",""QWDH"",""TWSH"",""Dragon"",""Dragon"",""Dragon"",""Dragon""]",,
2,251,0,"[-14.0,-7.0]",,"[null,null,""Minimal"",""Minimal"",null,""Minimal"",""Minimal"",""Minimal"",""Minimal"",""Minimal""]",,
2,251,1,"[-14.0,-7.0]",,"[null,null,""Minimal"",""Minimal"",null,""Minimal"",""Minimal"",""Minimal"",""Minimal"",""Minimal""]",,
2,251,2,"[-14.0,-7.0]",,"[null,null,""Minimal"",""Minimal"",null,""Minimal"",""Minimal"",""Minimal"",""Minimal"",""Minimal""]",,
2,251,3,"[-14.0,-7.0]",,"[null,null,""Minimal"",""Minimal"",null,""Minimal"",""Minimal"",""Minimal"",""Minimal"",""Minimal""]",,
2,251,4,"[-14.0,-7.0]",,"[null,null,""Minimal"",""Minimal"",null,""Minimal"",""Minimal"",""Minimal"",""Minimal"",""Minimal""]",,
2,251,5,"[-14.0,-7.0]",,"[null,null,""Minimal"",""Minimal"",null,""Minimal"",""Minimal"",""Minimal"",""Minimal"",""Minimal""]",,
2,251,6,"[-14.0,-7.0]",,"[null,null,""Minimal"",""Minimal"",null,""Minimal"",""Minimal"",""Minimal"",""Minimal"",""Minimal""]",,
2,251,7,"[-14.0,-7.0]",,"[null,null,""Minimal"",""Minimal"",null,""Minimal"",""Minimal"",""Minimal"",""Minimal"",""Minimal""]",,
2,251,8,"[-14.0,-7.0]",,"[null,null,""Minimal"",""Minimal"",null,""Minimal"",""Minimal"",""Minimal"",""Minimal"",""Minimal""]",,
2,251,9,"[-14.0,-7.0]",,"[null,null,""Minimal"",""Minimal"",null,""Minimal"",""Minimal"",""Minimal"",""Minimal"",""Minimal""]",,
2,251,10,"[-14.0,-7.0]",,"[null,null,""Minimal"",""Minimal"",null,""Minimal"",""Minimal"",""Minimal"",""Minimal"",""Minimal""]",,
2,251,11,"[-14.0,-7.0]",,"[null,null,""Minimal"",""Minimal"",null,""Minimal"",""Minimal"",""Minimal"",""Minimal"",""Minimal""]",,
2,251,12,"[-14.0,-7.0]",,"[null,null,""Minimal"",""Minimal"",null,""Minimal"",""Minimal"",""Minimal"",""Minimal"",""Minimal""]",,
2,251,13,"[-14.0,-7.0]",,"[null,null,""Minimal"",""Minimal"",null,""Minimal"",""Minimal"",""Minimal"",""Minimal"",""Minimal""]",,
2,251,14,"[-14.0,-7.0]",,"[null,null,""Minimal"",""Minimal"",null,""Minimal"",""Minimal"",""Minimal"",""Minimal"",""Minimal""]",,
2,251,15,"[-14.0,-7.0]",,"[null,null,""Minimal"",""Minimal"",null,""Minimal"",""Minimal"",""Minimal"",""Minimal"",""Minimal""]",,
2,251,16,"[-14.0,-7.0]",,"[null,null,""Minimal"",""Minimal"",null,""Minimal"",""Minimal"",""Minimal"",""Minimal"",""Minimal""]",,
2,251,17,"[-14.0,-7.0]",,"[null,null,""Minimal"",""Minimal"",null,""Minimal"",""Minimal"",""Minimal"",""Minimal"",""Minimal""]",,
2,251,18,"[-14.0,-7.0]",,"[null,null,""Minimal"",""Minimal"",null,""Minimal"",""Minimal"",""Minimal"",""Minimal"",""Minimal""]",,
2,251,19,"[-14.0,-7.0]",,"[null,null,""Minimal"",""Minimal"",null,""Minimal"",""Minimal"",""Minimal"",""Minimal"",""Minimal""]",,
