event_id,step,rank,objectives_json,violation,worker_types_json,routes_json,repairs_json
1,1,0,"[-35.0,-20.0]",,"[""Dragon"",""Dragon"",""Dragon"",""Dragon"",""Dragon"",""Dragon"",""Dragon"",""Dragon"",""Dragon"",""Dragon""]",,
1,1,1,"[-35.0,-20.0]",,"[""Dragon"",""Dragon"",""Dragon"",""Dragon"",""Dragon"",""Dragon"",""Dragon"",""Dragon"",""Dragon"",""Dragon""]",,
1,1,2,"[-60.0,-0.0]",,"[""TWSH"",""TWSH"",""TWSH"",""TWSH"",""TWSH"",""TWSH"",""TWSH"",""TWSH"",""TWSH"",""TWSH""]",,
1,1,3,"[-60.0,-0.0]",,"[""TWSH"",""TWSH"",""TWSH"",""TWSH"",""TWSH"",""TWSH"",""TWSH"",""TWSH"",""TWSH"",""TWSH""]",,
1,1,4,"[-47.5,-10.0]",,"[""TWSH"",""TWSH"",""Dragon"",""Dragon"",""TWSH"",""TWSH"",""TWSH"",""Dragon"",""Dragon"",""Dragon""]",,
1,1,5,"[-56.0,-3.0]",,"[""TWSH"",""TWSH"",""TWSH"",""TWSH"",""TWSH"",""TWSH"",""TWSH"",""Minimal"",""TWSH"",""TWSH""]",,
1,1,6,"[-58.0,-1.0]",,"[""TWSH"",""TWSH"",""QWDH"",""TWSH"",""TWSH"",""TWSH"",""TWSH"",""Minimal"",""TWSH"",""TWSH""]",,
1,1,7,"[-36.0,-19.0]",,"[""TWSH"",""Dragon"",""Dragon"",""Dragon"",""Dragon"",""Dragon"",""Minimal"",""Dragon"",""Dragon"",""Dragon""]",,
1,1,8,"[-37.5,-18.0]",,"[""Dragon"",""Dragon"",""Dragon"",""Dragon"",""Dragon"",""TWSH"",""Dragon"",""Dragon"",""Dragon"",""Dragon""]",,
1,1,9,"[-38.5,-17.0]",,"[""Dragon"",""Dragon"",""Dragon"",""Dragon"",""Dragon"",""Dragon"",""Minimal"",""TWSH"",""TWSH"",""Dragon""]",,
1,1,10,"[-40.0,-16.0]",,"[""Dragon"",""Dragon"",""Dragon"",""Dragon"",""Dragon"",""TWSH"",""Dragon"",""Dragon"",""Dragon"",""TWSH""]",,
1,1,11,"[-41.0,-15.0]",,"[""Dragon"",""Dragon"",""Dragon"",""Dragon"",""TWSH"",""Dragon"",""TWSH"",""Minimal"",""Dragon"",""TWSH""]",,
1,1,12,"[-42.5,-14.0]",,"[""Dragon"",""TWSH"",""Dragon"",""TWSH"",""Dragon"",""Dragon"",""Dragon"",""Dragon"",""Dragon"",""TWSH""]",,
1,1,13,"[-43.5,-13.0]",,"[""Dragon"",""Dragon"",""Dragon"",""TWSH"",""TWSH"",""Dragon"",""TWSH"",""Dragon"",""TWSH"",""Minimal""]",,
1,1,14,"[-45.0,-12.0]",,"[""TWSH"",""TWSH"",""TWSH"",""Dragon"",""Dragon"",""Dragon"",""Dragon"",""Dragon"",""TWSH"",""Dragon""]",,
1,1,15,"[-46.0,-11.0]",,"[""TWSH"",""TWSH"",""TWSH"",""Dragon"",""Dragon"",""Dragon"",""TWSH"",""Dragon"",""TWSH"",""Minimal""]",,
1,1,16,"[-48.5,-9.0]",,"[""TWSH"",""TWSH"",""TWSH"",""TWSH"",""Dragon"",""Dragon"",""TWSH"",""Dragon"",""TWSH"",""Minimal""]",,
1,1,17,"[-50.0,-8.0]",,"[""Dragon"",""TWSH"",""TWSH"",""Dragon"",""TWSH"",""Dragon"",""TWSH"",""Dragon"",""TWSH"",""TWSH""]",,
1,1,18,"[-51.0,-7.0]",,"[""TWSH"",""TWSH"",""TWSH"",""TWSH"",""Dragon"",""TWSH"",""TWSH"",""Dragon"",""TWSH"",""Minimal""]",,
1,1,19,"[-52.5,-6.0]",,"[""TWSH"",""TWSH"",""TWSH"",""TWSH"",""Dragon"",""TWSH"",""Dragon"",""Dragon"",""TWSH"",""TWSH""]",,
1,1,20,"[-53.5,-5.0]",,"[""TWSH"",""TWSH"",""TWSH"",""TWSH"",""TWSH"",""TWSH"",""TWSH"",""Dragon"",""TWSH"",""Minimal""]",,
1,1,21,"[-55.0,-4.0]",,"[""TWSH"",""TWSH"",""TWSH"",""TWSH"",""TWSH"",""Dragon"",""TWSH"",""Dragon"",""TWSH"",""TWSH""]",,
1,1,22,"[-57.5,-2.0]",,"[""TWSH"",""TWSH"",""TWSH"",""TWSH"",""TWSH"",""TWSH"",""TWSH"",""Dragon"",""TWSH"",""TWSH""]",,
1,1,23,"[-36.0,-19.0]",,"[""Dragon"",""Minimal"",""Dragon"",""Dragon"",""Dragon"",""TWSH"",""Dragon"",""Dragon"",""Dragon"",""Dragon""]",,
1,1,24,"[-37.5,-18.0]",,"[""Dragon"",""Dragon"",""Dragon"",""Dragon"",""Dragon"",""Dragon"",""Dragon"",""TWSH"",""Dragon"",""Dragon""]",,
1,1,25,"[-38.5,-17.0]",,"[""Dragon"",""Dragon"",""Dragon"",""TWSH"",""Dragon"",""Dragon"",""Dragon"",""Dragon"",""TWSH"",""Minimal""]",,
1,1,26,"[-40.0,-16.0]",,"[""TWSH"",""Dragon"",""Dragon"",""Dragon"",""Dragon"",""Dragon"",""Dragon"",""Dragon"",""TWSH"",""Dragon""]",,
1,1,27,"[-41.0,-15.0]",,"[""Dragon"",""Dragon"",""Dragon"",""TWSH"",""TWSH"",""Dragon"",""TWSH"",""Dragon"",""Dragon"",""Minimal""]",,
1,1,28,"[-42.5,-14.0]",,"[""Dragon"",""TWSH"",""Dragon"",""TWSH"",""Dragon"",""Dragon"",""TWSH"",""Dragon"",""Dragon"",""Dragon""]",,
1,1,29,"[-43.5,-13.0]",,"[""TWSH"",""TWSH"",""Dragon"",""Dragon"",""Dragon"",""TWSH"",""Dragon"",""Minimal"",""TWSH"",""Dragon""]",,
2,101,0,"[-25.0,-16.0]",,"[""Minimal"",""Dragon"",null,""Dragon"",""Dragon"",""Dragon"",null,""Minimal"",""Dragon"",""Dragon""]",,
2,101,1,"[-25.0,-16.0]",,"[""Minimal"",""Dragon"",null,""Dragon"",""Dragon"",""Dragon"",null,""Minimal"",""Dragon"",""Dragon""]",,
2,101,2,"[-29.0,-14.0]",,"[""Minimal"",""Dragon"",""Minimal"",""Dragon"",""Dragon"",""Dragon"",""Minimal"",""Minimal"",""Dragon"",""Dragon""]",,
2,101,3,"[-29.0,-14.0]",,"[""Minimal"",""Dragon"",""Minimal"",""Dragon"",""Dragon"",""Dragon"",""Minimal"",""Minimal"",""Dragon"",""Dragon""]",,
2,101,4,"[-28.0,-15.0]",,"[""Dragon"",""Dragon"",null,""Dragon"",""Dragon"",""Dragon"",null,""Dragon"",""Dragon"",""Dragon""]",,
2,101,5,"[-28.0,-15.0]",,"[""Dragon"",""Dragon"",null,""Dragon"",""Dragon"",""Dragon"",null,""Dragon"",""Dragon"",""Dragon""]",,
2,101,6,"[-25.0,-16.0]",,"[""Minimal"",""Dragon"",null,""Dragon"",""Dragon"",""Dragon"",null,""Minimal"",""Dragon"",""Dragon""]",,
2,101,7,"[-25.0,-16.0]",,"[""Minimal"",""Dragon"",null,""Dragon"",""Dragon"",""Dragon"",null,""Minimal"",""Dragon"",""Dragon""]",,
2,101,8,"[-25.0,-16.0]",,"[""Minimal"",""Dragon"",null,""Dragon"",""Dragon"",""Dragon"",null,""Minimal"",""Dragon"",""Dragon""]",,
2,101,9,"[-25.0,-16.0]",,"[""Minimal"",""Dragon"",null,""Dragon"",""Dragon"",""Dragon"",null,""Minimal"",""Dragon"",""Dragon""]",,
2,101,10,"[-25.0,-16.0]",,"[""Minimal"",""Dragon"",null,""Dragon"",""Dragon"",""Dragon"",null,""Minimal"",""Dragon"",""Dragon""]",,
2,101,11,"[-25.0,-16.0]",,"[""Minimal"",""Dragon"",null,""Dragon"",""Dragon"",""Dragon"",null,""Minimal"",""Dragon"",""Dragon""]",,
2,101,12,"[-25.0,-16.0]",,"[""Dragon"",""Dragon"",null,""Dragon"",""Minimal"",""Dragon"",null,""Minimal"",""Dragon"",""Dragon""]",,
2,101,13,"[-25.0,-16.0]",,"[""Dragon"",""Dragon"",null,""Dragon"",""Minimal"",""Dragon"",null,""Minimal"",""Dragon"",""Dragon""]",,
2,101,14,"[-25.0,-16.0]",,"[""Minimal"",""Dragon"",null,""Dragon"",""Dragon"",""Dragon"",null,""Minimal"",""Dragon"",""Dragon""]",,
2,101,15,"[-25.0,-16.0]",,"[""Minimal"",""Dragon"",null,""Dragon"",""Dragon"",""Dragon"",null,""Minimal"",""Dragon"",""Dragon""]",,
2,101,16,"[-25.0,-16.0]",,"[""Minimal"",""Dragon"",null,""Dragon"",""Dragon"",""Dragon"",null,""Minimal"",""Dragon"",""Dragon""]",,
2,101,17,"[-25.0,-16.0]",,"[""Minimal"",""Dragon"",null,""Dragon"",""Dragon"",""Dragon"",null,""Minimal"",""Dragon"",""Dragon""]",,
2,101,18,"[-25.0,-16.0]",,"[""Dragon"",""Dragon"",null,""Dragon"",""Minimal"",""Dragon"",null,""Minimal"",""Dragon"",""Dragon""]",,
2,101,19,"[-25.0,-16.0]",,"[""Minimal"",""Dragon"",null,""Dragon"",""Dragon"",""Dragon"",null,""Minimal"",""Dragon"",""Dragon""]",,
2,101,20,"[-25.0,-16.0]",,"[""Minimal"",""Dragon"",null,""Dragon"",""Dragon"",""Dragon"",null,""Minimal"",""Dragon"",""Dragon""]",,
2,101,21,"[-25.0,-16.0]",,"[""Minimal"",""Dragon"",null,""Dragon"",""Dragon"",""Dragon"",null,""Minimal"",""Dragon"",""Dragon""]",,
2,101,22,"[-25.0,-16.0]",,"[""Minimal"",""Dragon"",null,""Dragon"",""Dragon"",""Dragon"",null,""Minimal"",""Dragon"",""Dragon""]",,
2,101,23,"[-25.0,-16.0]",,"[""Minimal"",""Dragon"",null,""Dragon"",""Dragon"",""Dragon"",null,""Minimal"",""Dragon"",""Dragon""]",,
2,101,24,"[-25.0,-16.0]",,"[""Minimal"",""Dragon"",null,""Dragon"",""Dragon"",""Dragon"",null,""Minimal"",""Dragon"",""Dragon""]",,
2,101,25,"[-25.0,-16.0]",,"[""Minimal"",""Dragon"",null,""Dragon"",""Dragon"",""Dragon"",null,""Minimal"",""Dragon"",""Dragon""]",,
2,101,26,"[-25.0,-16.0]",,"[""Minimal"",""Dragon"",null,""Dragon"",""Dragon"",""Dragon"",null,""Minimal"",""Dragon"",""Dragon""]",,
2,101,27,"[-25.0,-16.0]",,"[""Dragon"",""Dragon"",null,""Dragon"",""Minimal"",""Dragon"",null,""Minimal"",""Dragon"",""Dragon""]",,
2,101,28,"[-25.0,-16.0]",,"[""Minimal"",""Dragon"",null,""Dragon"",""Dragon"",""Dragon"",null,""Minimal"",""Dragon"",""Dragon""]",,
2,101,29,"[-25.0,-16.0]",,"[""Minimal"",""Dragon"",null,""Dragon"",""Dragon"",""Dragon"",null,""Minimal"",""Dragon"",""Dragon""]",,
3,201,0,"[-20.0,-17.0]",,"[""Minimal"",""Dragon"",null,""Dragon"",""Dragon"",""Dragon"",null,""Minimal"",""Minimal"",null]",,
3,201,1,"[-20.0,-17.0]",,"[""Minimal"",""Dragon"",null,""Dragon"",""Dragon"",""Dragon"",null,""Minimal"",""Minimal"",null]",,
3,201,2,"[-30.5,-11.0]",,"[""Dragon"",""Dragon"",""Minimal"",""Dragon"",""Dragon"",""Dragon"",""Dragon"",""Minimal"",""Dragon"",""Minimal""]",,
3,201,3,"[-30.5,-11.0]",,"[""Dragon"",""Dragon"",""Minimal"",""Dragon"",""Dragon"",""Dragon"",""Dragon"",""Minimal"",""Dragon"",""Minimal""]",,
3,201,4,"[-22.5,-16.0]",,"[""Minimal"",""Dragon"",null,""Dragon"",""Dragon"",""TWSH"",null,""Minimal"",""Minimal"",null]",,
3,201,5,"[-22.5,-16.0]",,"[""Minimal"",""Dragon"",null,""Dragon"",""Dragon"",""TWSH"",null,""Minimal"",""Minimal"",null]",,
3,201,6,"[-24.5,-15.0]",,"[""Minimal"",""Dragon"",null,""Dragon"",""Dragon"",""TWSH"",""Minimal"",""Minimal"",""Minimal"",null]",,
3,201,7,"[-24.5,-15.0]",,"[""Minimal"",""Dragon"",null,""Dragon"",""Dragon"",""TWSH"",""Minimal"",""Minimal"",""Minimal"",null]",,
3,201,8,"[-26.5,-14.0]",,"[""Minimal"",""Dragon"",null,""Dragon"",""Dragon"",""TWSH"",""Minimal"",""Minimal"",""Minimal"",""Minimal""]",,
3,201,9,"[-26.5,-14.0]",,"[""Minimal"",""Dragon"",null,""Dragon"",""Dragon"",""TWSH"",""Minimal"",""Minimal"",""Minimal"",""Minimal""]",,
3,201,10,"[-28.5,-13.0]",,"[""Minimal"",""Dragon"",""Minimal"",""Dragon"",""Dragon"",""TWSH"",""Minimal"",""Minimal"",""Minimal"",""Minimal""]",,
3,201,11,"[-28.5,-13.0]",,"[""Minimal"",""Dragon"",""Minimal"",""Dragon"",""Dragon"",""TWSH"",""Minimal"",""Minimal"",""Minimal"",""Minimal""]",,
3,201,12,"[-30.0,-12.0]",,"[""Dragon"",""Dragon"",""Minimal"",""Dragon"",""Dragon"",""TWSH"",""Minimal"",""Minimal"",""Minimal"",""Minimal""]",,
3,201,13,"[-30.0,-12.0]",,"[""Dragon"",""Dragon"",""Minimal"",""Dragon"",""Dragon"",""TWSH"",""Minimal"",""Minimal"",""Minimal"",""Minimal""]",,
3,201,14,"[-20.0,-17.0]",,"[""Minimal"",""Dragon"",null,""Dragon"",""Dragon"",""Dragon"",null,""Minimal"",""Minimal"",null]",,
3,201,15,"[-20.0,-17.0]",,"[""Minimal"",""Dragon"",null,""Dragon"",""Dragon"",""Dragon"",null,""Minimal"",""Minimal"",null]",,
3,201,16,"[-20.0,-17.0]",,"[""Minimal"",""Dragon"",null,""Dragon"",""Dragon"",""Dragon"",null,""Minimal"",""Minimal"",null]",,
3,201,17,"[-20.0,-17.0]",,"[""Minimal"",""Dragon"",null,""Dragon"",""Dragon"",""Dragon"",null,""Minimal"",""Minimal"",null]",,
3,201,18,"[-20.0,-17.0]",,"[""Minimal"",""Dragon"",null,""Dragon"",""Dragon"",""Dragon"",null,""Minimal"",""Minimal"",null]",,
3,201,19,"[-20.0,-17.0]",,"[""Minimal"",""Dragon"",null,""Dragon"",""Dragon"",""Dragon"",null,""Minimal"",""Minimal"",null]",,
3,201,20,"[-20.0,-17.0]",,"[""Minimal"",""Dragon"",null,""Dragon"",""Dragon"",""Dragon"",null,""Minimal"",""Minimal"",null]",,
3,201,21,"[-20.0,-17.0]",,"[""Minimal"",""Dragon"",null,""Dragon"",""Dragon"",""Dragon"",null,""Minimal"",""Minimal"",null]",,
3,201,22,"[-20.0,-17.0]",,"[""Minimal"",""Dragon"",null,""Dragon"",""Dragon"",""Dragon"",null,""Minimal"",""Minimal"",null]",,
3,201,23,"[-20.0,-17.0]",,"[""Minimal"",""Dragon"",null,""Dragon"",""Dragon"",""Dragon"",null,""Minimal"",""Minimal"",null]",,
3,201,24,"[-20.0,-17.0]",,"[""Minimal"",""Dragon"",null,""Dragon"",""Dragon"",""Dragon"",null,""Minimal"",""Minimal"",null]",,
3,201,25,"[-20.0,-17.0]",,"[""Minimal"",""Dragon"",null,""Dragon"",""Dragon"",""Dragon"",null,""Minimal"",""Minimal"",null]",,
3,201,26,"[-20.0,-17.0]",,"[""Minimal"",""Dragon"",null,""Dragon"",""Dragon"",""Dragon"",null,""Minimal"",""Minimal"",null]",,
3,201,27,"[-20.0,-17.0]",,"[""Minimal"",""Dragon"",null,""Dragon"",""Dragon"",""Dragon"",null,""Minimal"",""Minimal"",null]",,
3,201,28,"[-20.0,-17.0]",,"[""Minimal"",""Dragon"",null,""Dragon"",""Dragon"",""Dragon"",null,""Minimal"",""Minimal"",null]",,
3,201,29,"[-20.0,-17.0]",,"[""Minimal"",""Dragon"",null,""Dragon"",""Dragon"",""Dragon"",null,""Minimal"",""Minimal"",null]",,
4,301,0,"[-7.5,-16.0]",,"[null,null,null,""Dragon"",""Minimal"",""Minimal"",null,null,null,null]",,
4,301,1,"[-7.5,-16.0]",,"[null,null,null,""Dragon"",""Minimal"",""Minimal"",null,null,null,null]",,
4,301,2,"[-30.0,-4.0]",,"[""Dragon"",""Minimal"",""Minimal"",""TWSH"",""Dragon"",""Dragon"",""Minimal"",""Minimal"",""Dragon"",""Minimal""]",,
4,301,3,"[-30.0,-4.0]",,"[""Dragon"",""Minimal"",""Minimal"",""TWSH"",""Dragon"",""Dragon"",""Minimal"",""Minimal"",""Dragon"",""Minimal""]",,
4,301,4,"[-9.5,-15.0]",,"[null,null,null,""Dragon"",""Minimal"",""Minimal"",null,null,null,""Minimal""]",,
4,301,5,"[-9.5,-15.0]",,"[""Minimal"",null,null,""Dragon"",""Minimal"",""Minimal"",null,null,null,null]",,
4,301,6,"[-11.5,-14.0]",,"[""Minimal"",null,null,""Dragon"",""Minimal"",""Minimal"",null,null,null,""Minimal""]",,
4,301,7,"[-11.5,-14.0]",,"[null,null,null,""Dragon"",""Minimal"",""TWSH"",null,null,null,null]",,
4,301,8,"[-13.5,-13.0]",,"[null,null,null,""TWSH"",""Dragon"",""Minimal"",null,null,null,""Minimal""]",,
4,301,9,"[-13.5,-13.0]",,"[null,null,null,""TWSH"",""Dragon"",""Minimal"",null,null,null,""Minimal""]",,
4,301,10,"[-15.5,-12.0]",,"[""Minimal"",null,null,""TWSH"",""Dragon"",""Minimal"",null,null,null,""Minimal""]",,
4,301,11,"[-15.5,-12.0]",,"[""Minimal"",""Minimal"",""Minimal"",""Dragon"",""Minimal"",""Minimal"",null,null,null,""Minimal""]",,
4,301,12,"[-17.5,-11.0]",,"[null,""Minimal"",null,""TWSH"",""Dragon"",""Minimal"",null,""Minimal"",null,""Minimal""]",,
4,301,13,"[-17.5,-11.0]",,"[null,null,null,""TWSH"",""Dragon"",""TWSH"",null,""Minimal"",null,null]",,
4,301,14,"[-19.5,-10.0]",,"[null,null,null,""TWSH"",""Dragon"",""TWSH"",null,""Minimal"",null,""Minimal""]",,
4,301,15,"[-19.5,-10.0]",,"[null,null,null,""TWSH"",""Dragon"",""TWSH"",null,""Minimal"",null,""Minimal""]",,
4,301,16,"[-21.5,-9.0]",,"[null,""Minimal"",null,""TWSH"",""Dragon"",""TWSH"",null,""Minimal"",null,""Minimal""]",,
4,301,17,"[-21.5,-9.0]",,"[""Minimal"",""Minimal"",null,""TWSH"",""Dragon"",""TWSH"",null,null,null,""Minimal""]",,
4,301,18,"[-23.5,-8.0]",,"[""Minimal"",""Minimal"",null,""TWSH"",""Dragon"",""TWSH"",null,""Minimal"",null,""Minimal""]",,
4,301,19,"[-23.5,-8.0]",,"[""Minimal"",""Minimal"",null,""TWSH"",""Dragon"",""TWSH"",null,null,""Minimal"",""Minimal""]",,
4,301,20,"[-25.5,-7.0]",,"[null,""Minimal"",""Minimal"",""TWSH"",""Dragon"",""TWSH"",null,""Minimal"",""Minimal"",""Minimal""]",,
4,301,21,"[-25.5,-7.0]",,"[null,""Minimal"",""Minimal"",""TWSH"",""Dragon"",""TWSH"",null,""Minimal"",""Minimal"",""Minimal""]",,
4,301,22,"[-27.5,-6.0]",,"[""Minimal"",""Minimal"",""Minimal"",""TWSH"",""Dragon"",""TWSH"",null,""Minimal"",""Minimal"",""Minimal""]",,
4,301,23,"[-27.5,-6.0]",,"[""Minimal"",""Minimal"",""Minimal"",""TWSH"",""Dragon"",""TWSH"",null,""Minimal"",""Minimal"",""Minimal""]",,
4,301,24,"[-29.5,-5.0]",,"[""Minimal"",""Minimal"",""Minimal"",""TWSH"",""Dragon"",""TWSH"",""Minimal"",""Minimal"",""Minimal"",""Minimal""]",,
4,301,25,"[-29.5,-5.0]",,"[""Minimal"",""Minimal"",""Minimal"",""TWSH"",""Dragon"",""TWSH"",""Minimal"",""Minimal"",""Minimal"",""Minimal""]",,
4,301,26,"[-7.5,-16.0]",,"[null,null,null,""Dragon"",""Minimal"",""Minimal"",null,null,null,null]",,
4,301,27,"[-7.5,-16.0]",,"[null,null,null,""Dragon"",""Minimal"",""Minimal"",null,null,null,null]",,
4,301,28,"[-7.5,-16.0]",,"[null,null,null,""Dragon"",""Minimal"",""Minimal"",null,null,null,null]",,
4,301,29,"[-7.5,-16.0]",,"[null,null,null,""Dragon"",""Minimal"",""Minimal"",null,null,null,null]",,
5,401,0,"[-8.0,-14.0]",,"[null,null,null,""Minimal"",""Minimal"",""Minimal"",null,null,null,""Minimal""]",,
5,401,1,"[-8.0,-14.0]",,"[null,null,null,""Minimal"",""Minimal"",""Minimal"",null,null,null,""Minimal""]",,
