event_id,step,rank,objectives_json,violation,worker_types_json,routes_json,repairs_json
1,1,0,"[-35.0,-20.0]",,"[""Dragon"",""Dragon"",""Dragon"",""Dragon"",""Dragon"",""Dragon"",""Dragon"",""Dragon"",""Dragon"",""Dragon""]",,
1,1,1,"[-35.0,-20.0]",,"[""Dragon"",""Dragon"",""Dragon"",""Dragon"",""Dragon"",""Dragon"",""Dragon"",""Dragon"",""Dragon"",""Dragon""]",,
1,1,2,"[-60.0,-0.0]",,"[""TWSH"",""TWSH"",""TWSH"",""TWSH"",""TWSH"",""TWSH"",""TWSH"",""TWSH"",""TWSH"",""TWSH""]",,
1,1,3,"[-60.0,-0.0]",,"[""TWSH"",""TWSH"",""TWSH"",""TWSH"",""TWSH"",""TWSH"",""TWSH"",""TWSH"",""TWSH"",""TWSH""]",,
1,1,4,"[-47.5,-10.0]",,"[""TWSH"",""TWSH"",""Dragon"",""Dragon"",""TWSH"",""TWSH"",""TWSH"",""Dragon"",""Dragon"",""Dragon""]",,
1,1,5,"[-56.0,-3.0]",,"[""TWSH"",""TWSH"",""TWSH"",""TWSH"",""TWSH"",""TWSH"",""TWSH"",""Minimal"",""TWSH"",""TWSH""]",,
1,1,6,"[-58.0,-1.0]",,"[""TWSH"",""TWSH"",""QWDH"",""TWSH"",""TWSH"",""TWSH"",""TWSH"",""Minimal"",""TWSH"",""TWSH""]",,
1,1,7,"[-36.0,-19.0]",,"[""TWSH"",""Dragon"",""Dragon"",""Dragon"",""Dragon"",""Dragon"",""Minimal"",""Dragon"",""Dragon"",""Dragon""]",,
1,1,8,"[-37.5,-18.0]",,"[""Dragon"",""Dragon"",""Dragon"",""Dragon"",""Dragon"",""TWSH"",""Dragon"",""Dragon"",""Dragon"",""Dragon""]",,
1,1,9,"[-38.5,-17.0]",,"[""Dragon"",""Dragon"",""Dragon"",""Dragon"",""Dragon"",""Dragon"",""Minimal"",""TWSH"",""TWSH"",""Dragon""]",,
1,1,10,"[-40.0,-16.0]",,"[""Dragon"",""Dragon"",""Dragon"",""Dragon"",""Dragon"",""TWSH"",""Dragon"",""Dragon"",""Dragon"",""TWSH""]",,
1,1,11,"[-41.0,-15.0]",,"[""Dragon"",""Dragon"",""Dragon"",""Dragon"",""TWSH"",""Dragon"",""TWSH"",""Minimal"",""Dragon"",""TWSH""]",,
1,1,12,"[-42.5,-14.0]",,"[""Dragon"",""TWSH"",""Dragon"",""TWSH"",""Dragon"",""Dragon"",""Dragon"",""Dragon"",""Dragon"",""TWSH""]",,
1,1,13,"[-43.5,-13.0]",,"[""Dragon"",""Dragon"",""Dragon"",""TWSH"",""TWSH"",""Dragon"",""TWSH"",""Dragon"",""TWSH"",""Minimal""]",,
1,1,14,"[-45.0,-12.0]",,"[""TWSH"",""TWSH"",""TWSH"",""Dragon"",""Dragon"",""Dragon"",""Dragon"",""Dragon"",""TWSH"",""Dragon""]",,
1,1,15,"[-46.0,-11.0]",,"[""TWSH"",""TWSH"",""TWSH"",""Dragon"",""Dragon"",""Dragon"",""TWSH"",""Dragon"",""TWSH"",""Minimal""]",,
1,1,16,"[-48.5,-9.0]",,"[""TWSH"",""TWSH"",""TWSH"",""TWSH"",""Dragon"",""Dragon"",""TWSH"",""Dragon"",""TWSH"",""Minimal""]",,
1,1,17,"[-50.0,-8.0]",,"[""Dragon"",""TWSH"",""TWSH"",""Dragon"",""TWSH"",""Dragon"",""TWSH"",""Dragon"",""TWSH"",""TWSH""]",,
1,1,18,"[-51.0,-7.0]",,"[""TWSH"",""TWSH"",""TWSH"",""TWSH"",""Dragon"",""TWSH"",""TWSH"",""Dragon"",""TWSH"",""Minimal""]",,
1,1,19,"[-52.5,-6.0]",,"[""TWSH"",""TWSH"",""TWSH"",""TWSH"",""Dragon"",""TWSH"",""Dragon"",""Dragon"",""TWSH"",""TWSH""]",,
1,1,20,"[-53.5,-5.0]",,"[""TWSH"",""TWSH"",""TWSH"",""TWSH"",""TWSH"",""TWSH"",""TWSH"",""Dragon"",""TWSH"",""Minimal""]",,
1,1,21,"[-55.0,-4.0]",,"[""TWSH"",""TWSH"",""TWSH"",""TWSH"",""TWSH"",""Dragon"",""TWSH"",""Dragon"",""TWSH"",""TWSH""]",,
1,1,22,"[-57.5,-2.0]",,"[""TWSH"",""TWSH"",""TWSH"",""TWSH"",""TWSH"",""TWSH"",""TWSH"",""Dragon"",""TWSH"",""TWSH""]",,
1,1,23,"[-36.0,-19.0]",,"[""Dragon"",""Minimal"",""Dragon"",""Dragon"",""Dragon"",""TWSH"",""Dragon"",""Dragon"",""Dragon"",""Dragon""]",,
1,1,24,"[-37.5,-18.0]",,"[""Dragon"",""Dragon"",""Dragon"",""Dragon"",""Dragon"",""Dragon"",""Dragon"",""TWSH"",""Dragon"",""Dragon""]",,
1,1,25,"[-38.5,-17.0]",,"[""Dragon"",""Dragon"",""Dragon"",""TWSH"",""Dragon"",""Dragon"",""Dragon"",""Dragon"",""TWSH"",""Minimal""]",,
1,1,26,"[-40.0,-16.0]",,"[""TWSH"",""Dragon"",""Dragon"",""Dragon"",""Dragon"",""Dragon"",""Dragon"",""Dragon"",""TWSH"",""Dragon""]",,
1,1,27,"[-41.0,-15.0]",,"[""Dragon"",""Dragon"",""Dragon"",""TWSH"",""TWSH"",""Dragon"",""TWSH"",""Dragon"",""Dragon"",""Minimal""]",,
1,1,28,"[-42.5,-14.0]",,"[""Dragon"",""TWSH"",""Dragon"",""TWSH"",""Dragon"",""Dragon"",""TWSH"",""Dragon"",""Dragon"",""Dragon""]",,
1,1,29,"[-43.5,-13.0]",,"[""TWSH"",""TWSH"",""Dragon"",""Dragon"",""Dragon"",""TWSH"",""Dragon"",""Minimal"",""TWSH"",""Dragon""]",,
2,101,0,"[-23.5,-13.0]",,"[""Minimal"",""Minimal"",""Dragon"",""Minimal"",""Dragon"",""Dragon"",""Dragon"",null,null,""Dragon""]",,
2,101,1,"[-23.5,-13.0]",,"[""Minimal"",""Minimal"",""Dragon"",""Minimal"",""Dragon"",""Dragon"",""Dragon"",null,null,""Dragon""]",,
2,101,2,"[-24.5,-11.0]",,"[""Minimal"",""Minimal"",""Minimal"",""Minimal"",""Dragon"",""Dragon"",""Minimal"",""Minimal"",""Minimal"",""Dragon""]",,
2,101,3,"[-24.5,-11.0]",,"[""Minimal"",""Minimal"",""Minimal"",""Minimal"",""Dragon"",""Dragon"",""Minimal"",""Minimal"",""Minimal"",""Dragon""]",,
2,101,4,"[-24.0,-12.0]",,"[""Minimal"",""Minimal"",""Minimal"",""Minimal"",""Dragon"",""Dragon"",""Dragon"",""Minimal"",null,""Dragon""]",,
2,101,5,"[-24.0,-12.0]",,"[""Dragon"",""Minimal"",""Minimal"",""Minimal"",""Dragon"",""Dragon"",""Minimal"",""Minimal"",null,""Dragon""]",,
2,101,6,"[-23.5,-13.0]",,"[""Minimal"",""Minimal"",""Dragon"",""Minimal"",""Dragon"",""Dragon"",""Dragon"",null,null,""Dragon""]",,
2,101,7,"[-23.5,-13.0]",,"[""Minimal"",""Minimal"",""Dragon"",""Minimal"",""Dragon"",""Dragon"",""Dragon"",null,null,""Dragon""]",,
2,101,8,"[-23.5,-13.0]",,"[""Minimal"",""Minimal"",""Dragon"",""Minimal"",""Dragon"",""Dragon"",""Dragon"",null,null,""Dragon""]",,
2,101,9,"[-23.5,-13.0]",,"[""Minimal"",""Minimal"",""Dragon"",""Minimal"",""Dragon"",""Dragon"",""Dragon"",null,null,""Dragon""]",,
2,101,10,"[-23.5,-13.0]",,"[""Minimal"",""Minimal"",""Dragon"",""Minimal"",""Dragon"",""Dragon"",""Dragon"",null,null,""Dragon""]",,
2,101,11,"[-23.5,-13.0]",,"[""Minimal"",""Minimal"",""Dragon"",""Minimal"",""Dragon"",""Dragon"",""Dragon"",null,null,""Dragon""]",,
2,101,12,"[-23.5,-13.0]",,"[""Minimal"",""Minimal"",""Dragon"",""Minimal"",""Dragon"",""Dragon"",""Dragon"",null,null,""Dragon""]",,
2,101,13,"[-23.5,-13.0]",,"[""Minimal"",""Minimal"",""Dragon"",""Minimal"",""Dragon"",""Dragon"",""Dragon"",null,null,""Dragon""]",,
2,101,14,"[-23.5,-13.0]",,"[""Minimal"",""Minimal"",""Dragon"",""Minimal"",""Dragon"",""Dragon"",""Dragon"",null,null,""Dragon""]",,
2,101,15,"[-23.5,-13.0]",,"[""Minimal"",""Minimal"",""Dragon"",""Minimal"",""Dragon"",""Dragon"",""Dragon"",null,null,""Dragon""]",,
2,101,16,"[-23.5,-13.0]",,"[""Minimal"",""Minimal"",""Dragon"",""Minimal"",""Dragon"",""Dragon"",""Dragon"",null,null,""Dragon""]",,
2,101,17,"[-23.5,-13.0]",,"[""Minimal"",""Minimal"",""Dragon"",""Minimal"",""Dragon"",""Dragon"",""Dragon"",null,null,""Dragon""]",,
2,101,18,"[-23.5,-13.0]",,"[""Minimal"",""Minimal"",""Dragon"",""Minimal"",""Dragon"",""Dragon"",""Dragon"",null,null,""Dragon""]",,
2,101,19,"[-23.5,-13.0]",,"[""Minimal"",""Minimal"",""Dragon"",""Minimal"",""Dragon"",""Dragon"",""Dragon"",null,null,""Dragon""]",,
2,101,20,"[-23.5,-13.0]",,"[""Dragon"",""Minimal"",""Dragon"",""Minimal"",""Dragon"",""Dragon"",""Minimal"",null,null,""Dragon""]",,
2,101,21,"[-23.5,-13.0]",,"[""Minimal"",""Minimal"",""Dragon"",""Minimal"",""Dragon"",""Dragon"",""Dragon"",null,null,""Dragon""]",,
2,101,22,"[-23.5,-13.0]",,"[""Minimal"",""Minimal"",""Dragon"",""Minimal"",""Dragon"",""Dragon"",""Dragon"",null,null,""Dragon""]",,
2,101,23,"[-23.5,-13.0]",,"[""Minimal"",""Minimal"",""Dragon"",""Minimal"",""Dragon"",""Dragon"",""Dragon"",null,null,""Dragon""]",,
2,101,24,"[-23.5,-13.0]",,"[""Minimal"",""Minimal"",""Dragon"",""Minimal"",""Dragon"",""Dragon"",""Dragon"",null,null,""Dragon""]",,
2,101,25,"[-23.5,-13.0]",,"[""Minimal"",""Minimal"",""Dragon"",""Minimal"",""Dragon"",""Dragon"",""Dragon"",null,null,""Dragon""]",,
2,101,26,"[-23.5,-13.0]",,"[""Minimal"",""Minimal"",""Dragon"",""Minimal"",""Dragon"",""Dragon"",""Dragon"",null,null,""Dragon""]",,
2,101,27,"[-23.5,-13.0]",,"[""Minimal"",""Minimal"",""Dragon"",""Minimal"",""Dragon"",""Dragon"",""Dragon"",null,null,""Dragon""]",,
2,101,28,"[-23.5,-13.0]",,"[""Minimal"",""Minimal"",""Dragon"",""Minimal"",""Dragon"",""Dragon"",""Dragon"",null,null,""Dragon""]",,
2,101,29,"[-23.5,-13.0]",,"[""Minimal"",""Minimal"",""Dragon"",""Minimal"",""Dragon"",""Dragon"",""Dragon"",null,null,""Dragon""]",,
3,201,0,"[-23.5,-14.0]",,"[""Minimal"",""Dragon"",""Minimal"",""Dragon"",""Minimal"",""Dragon"",""Dragon"",null,null,""Dragon""]",,
3,201,1,"[-23.5,-14.0]",,"[""Minimal"",""Dragon"",""Minimal"",""Dragon"",""Minimal"",""Dragon"",""Dragon"",null,null,""Dragon""]",,
3,201,2,"[-28.0,-10.0]",,"[""Minimal"",""TWSH"",""Minimal"",""Minimal"",""Minimal"",""TWSH"",""Minimal"",""Minimal"",""Minimal"",""Minimal""]",,
3,201,3,"[-28.0,-10.0]",,"[""Minimal"",""TWSH"",""Minimal"",""Minimal"",""Minimal"",""TWSH"",""Minimal"",""Minimal"",""Minimal"",""Minimal""]",,
3,201,4,"[-26.0,-13.0]",,"[""Minimal"",""Dragon"",""Minimal"",""Dragon"",""Minimal"",""TWSH"",""Dragon"",null,null,""Dragon""]",,
3,201,5,"[-26.0,-13.0]",,"[""Minimal"",""Dragon"",""Minimal"",""Dragon"",""Minimal"",""TWSH"",""Dragon"",null,null,""Dragon""]",,
3,201,6,"[-27.0,-12.0]",,"[""Minimal"",""TWSH"",""Minimal"",""Minimal"",""Minimal"",""Dragon"",""TWSH"",null,null,""Dragon""]",,
3,201,7,"[-27.0,-12.0]",,"[""Minimal"",""TWSH"",""Minimal"",""Minimal"",""Minimal"",""TWSH"",""Dragon"",null,null,""Dragon""]",,
3,201,8,"[-27.5,-11.0]",,"[""Minimal"",""TWSH"",""Minimal"",""Minimal"",""Minimal"",""TWSH"",""Dragon"",null,""Minimal"",""Minimal""]",,
3,201,9,"[-27.5,-11.0]",,"[""Minimal"",""TWSH"",""Minimal"",""Minimal"",""Minimal"",""TWSH"",""Dragon"",null,""Minimal"",""Minimal""]",,
3,201,10,"[-23.5,-14.0]",,"[""Minimal"",""Dragon"",""Minimal"",""Dragon"",""Minimal"",""Dragon"",""Dragon"",null,null,""Dragon""]",,
3,201,11,"[-23.5,-14.0]",,"[""Minimal"",""Dragon"",""Minimal"",""Dragon"",""Minimal"",""Dragon"",""Dragon"",null,null,""Dragon""]",,
3,201,12,"[-23.5,-14.0]",,"[""Minimal"",""Dragon"",""Minimal"",""Dragon"",""Minimal"",""Dragon"",""Dragon"",null,null,""Dragon""]",,
3,201,13,"[-23.5,-14.0]",,"[""Minimal"",""Dragon"",""Minimal"",""Dragon"",""Minimal"",""Dragon"",""Dragon"",null,null,""Dragon""]",,
3,201,14,"[-23.5,-14.0]",,"[""Minimal"",""Dragon"",""Minimal"",""Dragon"",""Minimal"",""Dragon"",""Dragon"",null,null,""Dragon""]",,
3,201,15,"[-23.5,-14.0]",,"[""Minimal"",""Dragon"",""Minimal"",""Dragon"",""Minimal"",""Dragon"",""Dragon"",null,null,""Dragon""]",,
3,201,16,"[-23.5,-14.0]",,"[""Minimal"",""Dragon"",""Minimal"",""Dragon"",""Minimal"",""Dragon"",""Dragon"",null,null,""Dragon""]",,
3,201,17,"[-23.5,-14.0]",,"[""Minimal"",""Dragon"",""Minimal"",""Dragon"",""Minimal"",""Dragon"",""Dragon"",null,null,""Dragon""]",,
3,201,18,"[-23.5,-14.0]",,"[""Minimal"",""Dragon"",""Minimal"",""Dragon"",""Minimal"",""Dragon"",""Dragon"",null,null,""Dragon""]",,
3,201,19,"[-23.5,-14.0]",,"[""Minimal"",""Dragon"",""Minimal"",""Dragon"",""Minimal"",""Dragon"",""Dragon"",null,null,""Dragon""]",,
3,201,20,"[-23.5,-14.0]",,"[""Minimal"",""Dragon"",""Minimal"",""Dragon"",""Minimal"",""Dragon"",""Dragon"",null,null,""Dragon""]",,
3,201,21,"[-23.5,-14.0]",,"[""Minimal"",""Dragon"",""Minimal"",""Dragon"",""Minimal"",""Dragon"",""Dragon"",null,null,""Dragon""]",,
3,201,22,"[-23.5,-14.0]",,"[""Minimal"",""Dragon"",""Minimal"",""Dragon"",""Minimal"",""Dragon"",""Dragon"",null,null,""Dragon""]",,
3,201,23,"[-23.5,-14.0]",,"[""Minimal"",""Dragon"",""Minimal"",""Dragon"",""Minimal"",""Dragon"",""Dragon"",null,null,""Dragon""]",,
3,201,24,"[-23.5,-14.0]",,"[""Minimal"",""Dragon"",""Minimal"",""Dragon"",""Minimal"",""Dragon"",""Dragon"",null,null,""Dragon""]",,
3,201,25,"[-23.5,-14.0]",,"[""Minimal"",""Dragon"",""Minimal"",""Dragon"",""Minimal"",""Dragon"",""Dragon"",null,null,""Dragon""]",,
3,201,26,"[-23.5,-14.0]",,"[""Minimal"",""Dragon"",""Minimal"",""Dragon"",""Minimal"",""Dragon"",""Dragon"",null,null,""Dragon""]",,
3,201,27,"[-23.5,-14.0]",,"[""Minimal"",""Dragon"",""Minimal"",""Dragon"",""Minimal"",""Dragon"",""Dragon"",null,null,""Dragon""]",,
3,201,28,"[-23.5,-14.0]",,"[""Minimal"",""Dragon"",""Minimal"",""Dragon"",""Minimal"",""Dragon"",""Dragon"",null,null,""Dragon""]",,
3,201,29,"[-23.5,-14.0]",,"[""Minimal"",""Dragon"",""Minimal"",""Dragon"",""Minimal"",""Dragon"",""Dragon"",null,null,""Dragon""]",,
4,301,0,"[-9.5,-13.0]",,"[""Minimal"",null,null,""Dragon"",null,""Minimal"",null,null,null,""Minimal""]",,
4,301,1,"[-9.5,-13.0]",,"[""Minimal"",null,null,""Dragon"",null,""Minimal"",null,null,null,""Minimal""]",,
4,301,2,"[-26.0,-5.0]",,"[""Minimal"",null,""Minimal"",""TWSH"",""Minimal"",""Minimal"",""TWSH"",""Minimal"",""Minimal"",""Minimal""]",,
4,301,3,"[-26.0,-5.0]",,"[""Minimal"",null,""Minimal"",""TWSH"",""Minimal"",""Minimal"",""TWSH"",""Minimal"",""Minimal"",""Minimal""]",,
4,301,4,"[-12.0,-12.0]",,"[""Minimal"",null,null,""TWSH"",null,""Minimal"",null,null,null,""Minimal""]",,
4,301,5,"[-12.0,-12.0]",,"[""Minimal"",null,null,""TWSH"",null,""Minimal"",null,null,null,""Minimal""]",,
4,301,6,"[-14.0,-11.0]",,"[""Minimal"",null,null,""TWSH"",null,""Minimal"",""Minimal"",null,null,""Minimal""]",,
4,301,7,"[-14.0,-11.0]",,"[""Minimal"",null,null,""TWSH"",null,""Minimal"",null,null,""Minimal"",""Minimal""]",,
4,301,8,"[-16.0,-10.0]",,"[""Minimal"",null,null,""TWSH"",null,""Minimal"",""Minimal"",null,""Minimal"",""Minimal""]",,
4,301,9,"[-16.0,-10.0]",,"[""Minimal"",null,null,""TWSH"",""Minimal"",""Minimal"",""Minimal"",null,null,""Minimal""]",,
4,301,10,"[-18.0,-9.0]",,"[""Minimal"",null,null,""TWSH"",null,""TWSH"",""Minimal"",null,null,""Minimal""]",,
4,301,11,"[-18.0,-9.0]",,"[""Minimal"",null,""TWSH"",""TWSH"",null,""Minimal"",null,null,null,""Minimal""]",,
4,301,12,"[-20.0,-8.0]",,"[""Minimal"",null,null,""TWSH"",null,""Minimal"",""Minimal"",null,""TWSH"",""Minimal""]",,
4,301,13,"[-20.0,-8.0]",,"[""Minimal"",null,null,""TWSH"",null,""Minimal"",""TWSH"",null,""Minimal"",""Minimal""]",,
4,301,14,"[-22.0,-7.0]",,"[""Minimal"",null,null,""TWSH"",""Minimal"",""Minimal"",""Minimal"",null,""TWSH"",""Minimal""]",,
4,301,15,"[-22.0,-7.0]",,"[""Minimal"",null,null,""TWSH"",null,""TWSH"",""TWSH"",null,null,""Minimal""]",,
4,301,16,"[-24.0,-6.0]",,"[""Minimal"",""Minimal"",null,""TWSH"",""Minimal"",""Minimal"",""Minimal"",null,""TWSH"",""Minimal""]",,
4,301,17,"[-24.0,-6.0]",,"[""Minimal"",null,""Minimal"",""TWSH"",""Minimal"",""Minimal"",""TWSH"",null,""Minimal"",""Minimal""]",,
4,301,18,"[-9.5,-13.0]",,"[""Minimal"",null,null,""Dragon"",null,""Minimal"",null,null,null,""Minimal""]",,
4,301,19,"[-9.5,-13.0]",,"[""Minimal"",null,null,""Dragon"",null,""Minimal"",null,null,null,""Minimal""]",,
4,301,20,"[-9.5,-13.0]",,"[""Minimal"",null,null,""Dragon"",null,""Minimal"",null,null,null,""Minimal""]",,
4,301,21,"[-9.5,-13.0]",,"[""Minimal"",null,null,""Dragon"",null,""Minimal"",null,null,null,""Minimal""]",,
4,301,22,"[-9.5,-13.0]",,"[""Minimal"",null,null,""Dragon"",null,""Minimal"",null,null,null,""Minimal""]",,
4,301,23,"[-9.5,-13.0]",,"[""Minimal"",null,null,""Dragon"",null,""Minimal"",null,null,null,""Minimal""]",,
4,301,24,"[-9.5,-13.0]",,"[""Minimal"",null,null,""Dragon"",null,""Minimal"",null,null,null,""Minimal""]",,
4,301,25,"[-9.5,-13.0]",,"[""Minimal"",null,null,""Dragon"",null,""Minimal"",null,null,null,""Minimal""]",,
4,301,26,"[-9.5,-13.0]",,"[""Minimal"",null,null,""Dragon"",null,""Minimal"",null,null,null,""Minimal""]",,
4,301,27,"[-9.5,-13.0]",,"[""Minimal"",null,null,""Dragon"",null,""Minimal"",null,null,null,""Minimal""]",,
4,301,28,"[-9.5,-13.0]",,"[""Minimal"",null,null,""Dragon"",null,""Minimal"",null,null,null,""Minimal""]",,
4,301,29,"[-9.5,-13.0]",,"[""Minimal"",null,null,""Dragon"",null,""Minimal"",null,null,null,""Minimal""]",,
5,401,0,"[-10.0,-7.0]",,"[null,null,null,""TWSH"",null,""Minimal"",null,null,null,""Minimal""]",,
5,401,1,"[-10.0,-7.0]",,"[null,null,null,""TWSH"",null,""Minimal"",null,null,null,""Minimal""]",,
