event_id,step,rank,objectives_json,violation,worker_types_json,routes_json,repairs_json
1,1,0,"[-35.0,-20.0]",,"[""Dragon"",""Dragon"",""Dragon"",""Dragon"",""Dragon"",""Dragon"",""Dragon"",""Dragon"",""Dragon"",""Dragon""]",,
1,1,1,"[-35.0,-20.0]",,"[""Dragon"",""Dragon"",""Dragon"",""Dragon"",""Dragon"",""Dragon"",""Dragon"",""Dragon"",""Dragon"",""Dragon""]",,
1,1,2,"[-47.5,-0.0]",,"[""QWDH"",""Dragon"",""QWDH"",""Dragon"",""Dragon"",""Dragon"",""QWDH"",""QWDH"",""Dragon"",""QWDH""]",,
1,1,3,"[-47.5,-0.0]",,"[""QWDH"",""Dragon"",""QWDH"",""Dragon"",""QWDH"",""Dragon"",""QWDH"",""Dragon"",""QWDH"",""Dragon""]",,
1,1,4,"[-36.0,-18.0]",,"[""Dragon"",""TWSH"",""Dragon"",""Dragon"",""Dragon"",""Dragon"",""Dragon"",""Dragon"",""Dragon"",""Dragon""]",,
1,1,5,"[-37.5,-16.0]",,"[""Dragon"",""Dragon"",""Dragon"",""Dragon"",""Dragon"",""QWDH"",""Dragon"",""Dragon"",""Dragon"",""Dragon""]",,
1,1,6,"[-38.5,-14.0]",,"[""Dragon"",""TWSH"",""Dragon"",""Dragon"",""Dragon"",""Dragon"",""Dragon"",""QWDH"",""Dragon"",""Dragon""]",,
1,1,7,"[-40.0,-12.0]",,"[""Dragon"",""Dragon"",""Dragon"",""QWDH"",""QWDH"",""Dragon"",""Dragon"",""Dragon"",""Dragon"",""Dragon""]",,
1,1,8,"[-41.0,-10.0]",,"[""Dragon"",""TWSH"",""Dragon"",""Dragon"",""QWDH"",""Dragon"",""Dragon"",""QWDH"",""Dragon"",""Dragon""]",,
1,1,9,"[-42.5,-8.0]",,"[""QWDH"",""Dragon"",""QWDH"",""Dragon"",""Dragon"",""Dragon"",""QWDH"",""Dragon"",""Dragon"",""Dragon""]",,
1,1,10,"[-43.5,-6.0]",,"[""Dragon"",""QWDH"",""TWSH"",""Dragon"",""Dragon"",""Dragon"",""Dragon"",""QWDH"",""Dragon"",""QWDH""]",,
1,1,11,"[-45.0,-4.0]",,"[""QWDH"",""Dragon"",""Dragon"",""Dragon"",""Dragon"",""Dragon"",""QWDH"",""QWDH"",""Dragon"",""QWDH""]",,
1,1,12,"[-46.0,-2.0]",,"[""QWDH"",""QWDH"",""TWSH"",""Dragon"",""Dragon"",""Dragon"",""QWDH"",""QWDH"",""Dragon"",""Dragon""]",,
1,1,13,"[-36.0,-18.0]",,"[""Dragon"",""TWSH"",""Dragon"",""Dragon"",""Dragon"",""Dragon"",""Dragon"",""Dragon"",""Dragon"",""Dragon""]",,
1,1,14,"[-37.5,-16.0]",,"[""Dragon"",""QWDH"",""Dragon"",""Dragon"",""Dragon"",""Dragon"",""Dragon"",""Dragon"",""Dragon"",""Dragon""]",,
1,1,15,"[-38.5,-14.0]",,"[""QWDH"",""Dragon"",""TWSH"",""Dragon"",""Dragon"",""Dragon"",""Dragon"",""Dragon"",""Dragon"",""Dragon""]",,
1,1,16,"[-40.0,-12.0]",,"[""QWDH"",""Dragon"",""Dragon"",""Dragon"",""Dragon"",""QWDH"",""Dragon"",""Dragon"",""Dragon"",""Dragon""]",,
1,1,17,"[-41.0,-10.0]",,"[""Dragon"",""TWSH"",""Dragon"",""Dragon"",""QWDH"",""Dragon"",""Dragon"",""QWDH"",""Dragon"",""Dragon""]",,
1,1,18,"[-42.5,-8.0]",,"[""QWDH"",""Dragon"",""Dragon"",""Dragon"",""Dragon"",""Dragon"",""Dragon"",""QWDH"",""Dragon"",""QWDH""]",,
1,1,19,"[-43.5,-6.0]",,"[""Dragon"",""TWSH"",""QWDH"",""Dragon"",""Dragon"",""Dragon"",""Dragon"",""QWDH"",""Dragon"",""QWDH""]",,
1,1,20,"[-45.0,-4.0]",,"[""QWDH"",""Dragon"",""Dragon"",""Dragon"",""Dragon"",""Dragon"",""QWDH"",""QWDH"",""Dragon"",""QWDH""]",,
1,1,21,"[-46.0,-2.0]",,"[""Dragon"",""QWDH"",""QWDH"",""QWDH"",""Dragon"",""Dragon"",""Dragon"",""QWDH"",""Dragon"",""TWSH""]",,
1,1,22,"[-35.0,-20.0]",,"[""Dragon"",""Dragon"",""Dragon"",""Dragon"",""Dragon"",""Dragon"",""Dragon"",""Dragon"",""Dragon"",""Dragon""]",,
1,1,23,"[-35.0,-20.0]",,"[""Dragon"",""Dragon"",""Dragon"",""Dragon"",""Dragon"",""Dragon"",""Dragon"",""Dragon"",""Dragon"",""Dragon""]",,
1,1,24,"[-35.0,-20.0]",,"[""Dragon"",""Dragon"",""Dragon"",""Dragon"",""Dragon"",""Dragon"",""Dragon"",""Dragon"",""Dragon"",""Dragon""]",,
1,1,25,"[-35.0,-20.0]",,"[""Dragon"",""Dragon"",""Dragon"",""Dragon"",""Dragon"",""Dragon"",""Dragon"",""Dragon"",""Dragon"",""Dragon""]",,
1,1,26,"[-35.0,-20.0]",,"[""Dragon"",""Dragon"",""Dragon"",""Dragon"",""Dragon"",""Dragon"",""Dragon"",""Dragon"",""Dragon"",""Dragon""]",,
1,1,27,"[-35.0,-20.0]",,"[""Dragon"",""Dragon"",""Dragon"",""Dragon"",""Dragon"",""Dragon"",""Dragon"",""Dragon"",""Dragon"",""Dragon""]",,
1,1,28,"[-35.0,-20.0]",,"[""Dragon"",""Dragon"",""Dragon"",""Dragon"",""Dragon"",""Dragon"",""Dragon"",""Dragon"",""Dragon"",""Dragon""]",,
1,1,29,"[-35.0,-20.0]",,"[""Dragon"",""Dragon"",""Dragon"",""Dragon"",""Dragon"",""Dragon"",""Dragon"",""Dragon"",""Dragon"",""Dragon""]",,
2,101,0,"[-22.0,-13.0]",,"[""Dragon"",null,""Minimal"",""Dragon"",""Minimal"",""Dragon"",""Dragon"",null,""Minimal"",""Minimal""]",,
2,101,1,"[-22.0,-13.0]",,"[""Dragon"",null,""Minimal"",""Dragon"",""Minimal"",""Dragon"",""Dragon"",null,""Minimal"",""Minimal""]",,
2,101,2,"[-24.5,-11.0]",,"[""Minimal"",""Minimal"",""Minimal"",""Dragon"",""Minimal"",""Dragon"",""Dragon"",""Minimal"",""Minimal"",""Minimal""]",,
2,101,3,"[-24.5,-11.0]",,"[""Minimal"",""Minimal"",""Minimal"",""Dragon"",""Minimal"",""Dragon"",""Dragon"",""Minimal"",""Minimal"",""Minimal""]",,
2,101,4,"[-24.0,-12.0]",,"[""Dragon"",null,""Minimal"",""Dragon"",""Minimal"",""Dragon"",""Dragon"",""Minimal"",""Minimal"",""Minimal""]",,
2,101,5,"[-24.0,-12.0]",,"[""Dragon"",null,""Minimal"",""Dragon"",""Minimal"",""Dragon"",""Dragon"",""Minimal"",""Minimal"",""Minimal""]",,
2,101,6,"[-22.0,-13.0]",,"[""Dragon"",null,""Minimal"",""Dragon"",""Minimal"",""Dragon"",""Dragon"",null,""Minimal"",""Minimal""]",,
2,101,7,"[-22.0,-13.0]",,"[""Dragon"",null,""Minimal"",""Dragon"",""Minimal"",""Dragon"",""Dragon"",null,""Minimal"",""Minimal""]",,
2,101,8,"[-22.0,-13.0]",,"[""Dragon"",null,""Minimal"",""Dragon"",""Minimal"",""Dragon"",""Dragon"",null,""Minimal"",""Minimal""]",,
2,101,9,"[-22.0,-13.0]",,"[""Dragon"",null,""Minimal"",""Dragon"",""Minimal"",""Dragon"",""Dragon"",null,""Minimal"",""Minimal""]",,
2,101,10,"[-22.0,-13.0]",,"[""Dragon"",null,""Minimal"",""Dragon"",""Minimal"",""Dragon"",""Dragon"",null,""Minimal"",""Minimal""]",,
2,101,11,"[-22.0,-13.0]",,"[""Dragon"",null,""Minimal"",""Dragon"",""Minimal"",""Dragon"",""Dragon"",null,""Minimal"",""Minimal""]",,
2,101,12,"[-22.0,-13.0]",,"[""Dragon"",null,""Minimal"",""Dragon"",""Minimal"",""Dragon"",""Dragon"",null,""Minimal"",""Minimal""]",,
2,101,13,"[-22.0,-13.0]",,"[""Dragon"",null,""Minimal"",""Dragon"",""Minimal"",""Dragon"",""Dragon"",null,""Minimal"",""Minimal""]",,
2,101,14,"[-22.0,-13.0]",,"[""Dragon"",null,""Minimal"",""Dragon"",""Minimal"",""Dragon"",""Dragon"",null,""Minimal"",""Minimal""]",,
2,101,15,"[-22.0,-13.0]",,"[""Dragon"",null,""Minimal"",""Dragon"",""Minimal"",""Dragon"",""Dragon"",null,""Minimal"",""Minimal""]",,
2,101,16,"[-22.0,-13.0]",,"[""Dragon"",null,""Minimal"",""Dragon"",""Minimal"",""Dragon"",""Dragon"",null,""Minimal"",""Minimal""]",,
2,101,17,"[-22.0,-13.0]",,"[""Dragon"",null,""Minimal"",""Dragon"",""Minimal"",""Dragon"",""Dragon"",null,""Minimal"",""Minimal""]",,
2,101,18,"[-22.0,-13.0]",,"[""Dragon"",null,""Minimal"",""Dragon"",""Minimal"",""Dragon"",""Dragon"",null,""Minimal"",""Minimal""]",,
2,101,19,"[-22.0,-13.0]",,"[""Dragon"",null,""Minimal"",""Dragon"",""Minimal"",""Dragon"",""Dragon"",null,""Minimal"",""Minimal""]",,
2,101,20,"[-22.0,-13.0]",,"[""Dragon"",null,""Minimal"",""Dragon"",""Minimal"",""Dragon"",""Dragon"",null,""Minimal"",""Minimal""]",,
2,101,21,"[-22.0,-13.0]",,"[""Dragon"",null,""Minimal"",""Dragon"",""Minimal"",""Dragon"",""Dragon"",null,""Minimal"",""Minimal""]",,
2,101,22,"[-22.0,-13.0]",,"[""Dragon"",null,""Minimal"",""Dragon"",""Minimal"",""Dragon"",""Dragon"",null,""Minimal"",""Minimal""]",,
2,101,23,"[-22.0,-13.0]",,"[""Dragon"",null,""Minimal"",""Dragon"",""Minimal"",""Dragon"",""Dragon"",null,""Minimal"",""Minimal""]",,
2,101,24,"[-22.0,-13.0]",,"[""Dragon"",null,""Minimal"",""Dragon"",""Minimal"",""Dragon"",""Dragon"",null,""Minimal"",""Minimal""]",,
2,101,25,"[-22.0,-13.0]",,"[""Dragon"",null,""Minimal"",""Dragon"",""Minimal"",""Dragon"",""Dragon"",null,""Minimal"",""Minimal""]",,
2,101,26,"[-22.0,-13.0]",,"[""Dragon"",null,""Minimal"",""Dragon"",""Minimal"",""Dragon"",""Dragon"",null,""Minimal"",""Minimal""]",,
2,101,27,"[-22.0,-13.0]",,"[""Dragon"",null,""Minimal"",""Dragon"",""Minimal"",""Dragon"",""Dragon"",null,""Minimal"",""Minimal""]",,
2,101,28,"[-22.0,-13.0]",,"[""Dragon"",null,""Minimal"",""Dragon"",""Minimal"",""Dragon"",""Dragon"",null,""Minimal"",""Minimal""]",,
2,101,29,"[-22.0,-13.0]",,"[""Dragon"",null,""Minimal"",""Dragon"",""Minimal"",""Dragon"",""Dragon"",null,""Minimal"",""Minimal""]",,
3,201,0,"[-21.5,-13.0]",,"[""Minimal"",null,""Minimal"",""Dragon"",""Minimal"",""TWSH"",""Minimal"",null,""Dragon"",""Minimal""]",,
3,201,1,"[-21.5,-13.0]",,"[""Minimal"",null,""Minimal"",""Dragon"",""Minimal"",""TWSH"",""Minimal"",null,""Dragon"",""Minimal""]",,
3,201,2,"[-24.5,-11.0]",,"[""Minimal"",""Minimal"",""Minimal"",""Dragon"",""Minimal"",""Dragon"",""Minimal"",""Minimal"",""Dragon"",""Minimal""]",,
3,201,3,"[-24.5,-11.0]",,"[""Minimal"",""Minimal"",""Minimal"",""Dragon"",""Minimal"",""Dragon"",""Minimal"",""Minimal"",""Dragon"",""Minimal""]",,
3,201,4,"[-23.5,-12.0]",,"[""Minimal"",null,""Minimal"",""Dragon"",""Minimal"",""TWSH"",""Minimal"",""Minimal"",""Dragon"",""Minimal""]",,
3,201,5,"[-23.5,-12.0]",,"[""Minimal"",null,""Minimal"",""Dragon"",""Minimal"",""TWSH"",""Minimal"",""Minimal"",""Dragon"",""Minimal""]",,
3,201,6,"[-21.5,-13.0]",,"[""Minimal"",null,""Minimal"",""Dragon"",""Minimal"",""TWSH"",""Minimal"",null,""Dragon"",""Minimal""]",,
3,201,7,"[-21.5,-13.0]",,"[""Minimal"",null,""Minimal"",""Dragon"",""Minimal"",""TWSH"",""Minimal"",null,""Dragon"",""Minimal""]",,
3,201,8,"[-21.5,-13.0]",,"[""Minimal"",null,""Minimal"",""Dragon"",""Minimal"",""TWSH"",""Minimal"",null,""Dragon"",""Minimal""]",,
3,201,9,"[-21.5,-13.0]",,"[""Minimal"",null,""Minimal"",""Dragon"",""Minimal"",""TWSH"",""Minimal"",null,""Dragon"",""Minimal""]",,
3,201,10,"[-21.5,-13.0]",,"[""Minimal"",null,""Minimal"",""Dragon"",""Minimal"",""TWSH"",""Minimal"",null,""Dragon"",""Minimal""]",,
3,201,11,"[-21.5,-13.0]",,"[""Minimal"",null,""Minimal"",""Dragon"",""Minimal"",""TWSH"",""Minimal"",null,""Dragon"",""Minimal""]",,
3,201,12,"[-21.5,-13.0]",,"[""Minimal"",null,""Minimal"",""Dragon"",""Minimal"",""TWSH"",""Minimal"",null,""Dragon"",""Minimal""]",,
3,201,13,"[-21.5,-13.0]",,"[""Minimal"",null,""Minimal"",""Dragon"",""Minimal"",""TWSH"",""Minimal"",null,""Dragon"",""Minimal""]",,
3,201,14,"[-21.5,-13.0]",,"[""Minimal"",null,""Minimal"",""Dragon"",""Minimal"",""TWSH"",""Minimal"",null,""Dragon"",""Minimal""]",,
3,201,15,"[-21.5,-13.0]",,"[""Minimal"",null,""Minimal"",""Dragon"",""Minimal"",""TWSH"",""Minimal"",null,""Dragon"",""Minimal""]",,
3,201,16,"[-21.5,-13.0]",,"[""Minimal"",null,""Minimal"",""Dragon"",""Minimal"",""TWSH"",""Minimal"",null,""Dragon"",""Minimal""]",,
3,201,17,"[-21.5,-13.0]",,"[""Minimal"",null,""Minimal"",""Dragon"",""Minimal"",""TWSH"",""Minimal"",null,""Dragon"",""Minimal""]",,
3,201,18,"[-21.5,-13.0]",,"[""Minimal"",null,""Minimal"",""Dragon"",""Minimal"",""TWSH"",""Minimal"",null,""Dragon"",""Minimal""]",,
3,201,19,"[-21.5,-13.0]",,"[""Minimal"",null,""Minimal"",""Dragon"",""Minimal"",""TWSH"",""Minimal"",null,""Dragon"",""Minimal""]",,
3,201,20,"[-21.5,-13.0]",,"[""Minimal"",null,""Minimal"",""Dragon"",""Minimal"",""TWSH"",""Minimal"",null,""Dragon"",""Minimal""]",,
3,201,21,"[-21.5,-13.0]",,"[""Minimal"",null,""Minimal"",""Dragon"",""Minimal"",""TWSH"",""Minimal"",null,""Dragon"",""Minimal""]",,
3,201,22,"[-21.5,-13.0]",,"[""Minimal"",null,""Minimal"",""Dragon"",""Minimal"",""TWSH"",""Minimal"",null,""Dragon"",""Minimal""]",,
3,201,23,"[-21.5,-13.0]",,"[""Minimal"",null,""Minimal"",""Dragon"",""Minimal"",""TWSH"",""Minimal"",null,""Dragon"",""Minimal""]",,
3,201,24,"[-21.5,-13.0]",,"[""Minimal"",null,""Minimal"",""Dragon"",""Minimal"",""TWSH"",""Minimal"",null,""Dragon"",""Minimal""]",,
3,201,25,"[-21.5,-13.0]",,"[""Minimal"",null,""Minimal"",""Dragon"",""Minimal"",""TWSH"",""Minimal"",null,""Dragon"",""Minimal""]",,
3,201,26,"[-21.5,-13.0]",,"[""Minimal"",null,""Minimal"",""Dragon"",""Minimal"",""TWSH"",""Minimal"",null,""Dragon"",""Minimal""]",,
3,201,27,"[-21.5,-13.0]",,"[""Minimal"",null,""Minimal"",""Dragon"",""Minimal"",""TWSH"",""Minimal"",null,""Dragon"",""Minimal""]",,
3,201,28,"[-21.5,-13.0]",,"[""Minimal"",null,""Minimal"",""Dragon"",""Minimal"",""TWSH"",""Minimal"",null,""Dragon"",""Minimal""]",,
3,201,29,"[-21.5,-13.0]",,"[""Minimal"",null,""Minimal"",""Dragon"",""Minimal"",""TWSH"",""Minimal"",null,""Dragon"",""Minimal""]",,
4,301,0,"[-6.5,-10.0]",,"[null,null,null,null,null,""TWSH"",""Minimal"",null,null,null]",,
4,301,1,"[-6.5,-10.0]",,"[null,null,null,null,null,""TWSH"",""Minimal"",null,null,null]",,
4,301,2,"[-19.5,-3.0]",,"[""Minimal"",""Minimal"",""Minimal"",""Minimal"",""Minimal"",""Dragon"",""Minimal"",""Minimal"",""Minimal"",null]",,
4,301,3,"[-19.5,-3.0]",,"[""Minimal"",""Minimal"",""Minimal"",""Minimal"",""Minimal"",""Dragon"",""Minimal"",""Minimal"",""Minimal"",null]",,
4,301,4,"[-8.5,-9.0]",,"[null,null,null,null,null,""TWSH"",""Minimal"",null,""Minimal"",null]",,
4,301,5,"[-8.5,-9.0]",,"[null,null,null,null,null,""TWSH"",""Minimal"",""Minimal"",null,null]",,
4,301,6,"[-10.5,-8.0]",,"[null,null,""Minimal"",null,""Minimal"",""TWSH"",""Minimal"",null,null,null]",,
4,301,7,"[-10.5,-8.0]",,"[""Minimal"",null,""Minimal"",null,null,""TWSH"",""Minimal"",null,null,null]",,
4,301,8,"[-12.5,-7.0]",,"[""Minimal"",null,""Minimal"",null,null,""TWSH"",""Minimal"",""Minimal"",null,null]",,
4,301,9,"[-12.5,-7.0]",,"[null,null,""Minimal"",""Minimal"",""Minimal"",""TWSH"",""Minimal"",null,null,null]",,
4,301,10,"[-14.5,-6.0]",,"[""Minimal"",null,""Minimal"",""Minimal"",null,""TWSH"",""Minimal"",""Minimal"",null,null]",,
4,301,11,"[-14.5,-6.0]",,"[""Minimal"",null,""Minimal"",null,null,""TWSH"",""Minimal"",""Minimal"",""Minimal"",null]",,
4,301,12,"[-16.5,-5.0]",,"[""Minimal"",null,""Minimal"",""Minimal"",null,""TWSH"",""Minimal"",""Minimal"",""Minimal"",null]",,
4,301,13,"[-16.5,-5.0]",,"[null,""Minimal"",""Minimal"",""Minimal"",null,""TWSH"",""Minimal"",""Minimal"",""Minimal"",null]",,
4,301,14,"[-18.5,-4.0]",,"[""Minimal"",""Minimal"",""Minimal"",""Minimal"",null,""TWSH"",""Minimal"",""Minimal"",null,""Minimal""]",,
4,301,15,"[-18.5,-4.0]",,"[""Minimal"",""Minimal"",""Minimal"",""Minimal"",null,""TWSH"",""Minimal"",""Minimal"",null,""Minimal""]",,
4,301,16,"[-6.5,-10.0]",,"[null,null,null,null,null,""TWSH"",""Minimal"",null,null,null]",,
4,301,17,"[-6.5,-10.0]",,"[null,null,null,null,null,""TWSH"",""Minimal"",null,null,null]",,
4,301,18,"[-6.5,-10.0]",,"[null,null,null,null,null,""TWSH"",""Minimal"",null,null,null]",,
4,301,19,"[-6.5,-10.0]",,"[null,null,null,null,null,""TWSH"",""Minimal"",null,null,null]",,
4,301,20,"[-6.5,-10.0]",,"[null,null,null,null,null,""TWSH"",""Minimal"",null,null,null]",,
4,301,21,"[-6.5,-10.0]",,"[null,null,null,null,null,""TWSH"",""Minimal"",null,null,null]",,
4,301,22,"[-6.5,-10.0]",,"[null,null,null,null,null,""TWSH"",""Minimal"",null,null,null]",,
4,301,23,"[-6.5,-10.0]",,"[null,null,null,null,null,""TWSH"",""Minimal"",null,null,null]",,
4,301,24,"[-6.5,-10.0]",,"[null,null,null,null,null,""TWSH"",""Minimal"",null,null,null]",,
4,301,25,"[-6.5,-10.0]",,"[null,null,null,null,null,""TWSH"",""Minimal"",null,null,null]",,
4,301,26,"[-6.5,-10.0]",,"[null,null,null,null,null,""TWSH"",""Minimal"",null,null,null]",,
4,301,27,"[-6.5,-10.0]",,"[null,null,null,null,null,""TWSH"",""Minimal"",null,null,null]",,
4,301,28,"[-6.5,-10.0]",,"[null,null,null,null,null,""TWSH"",""Minimal"",null,null,null]",,
4,301,29,"[-6.5,-10.0]",,"[null,null,null,null,null,""TWSH"",""Minimal"",null,null,null]",,
5,401,0,"[-4.0,-9.0]",,"[null,null,null,null,null,""Minimal"",""Minimal"",null,null,null]",,
5,401,1,"[-4.0,-9.0]",,"[null,null,null,null,null,""Minimal"",""Minimal"",null,null,null]",,
5,401,2,"[-18.0,-2.0]",,"[""Minimal"",null,""Minimal"",""Minimal"",""Minimal"",""Minimal"",""Minimal"",""Minimal"",""Minimal"",""Minimal""]",,
5,401,3,"[-18.0,-2.0]",,"[""Minimal"",null,""Minimal"",""Minimal"",""Minimal"",""Minimal"",""Minimal"",""Minimal"",""Minimal"",""Minimal""]",,
5,401,4,"[-6.0,-8.0]",,"[null,null,null,null,""Minimal"",""Minimal"",""Minimal"",null,null,null]",,
