event_id,step,rank,objectives_json,violation,worker_types_json,routes_json,repairs_json
1,1,0,"[-35.0,-20.0]",,"[""Dragon"",""Dragon"",""Dragon"",""Dragon"",""Dragon"",""Dragon"",""Dragon"",""Dragon"",""Dragon"",""Dragon""]",,
1,1,1,"[-35.0,-20.0]",,"[""Dragon"",""Dragon"",""Dragon"",""Dragon"",""Dragon"",""Dragon"",""Dragon"",""Dragon"",""Dragon"",""Dragon""]",,
1,1,2,"[-47.5,-0.0]",,"[""QWDH"",""Dragon"",""QWDH"",""Dragon"",""Dragon"",""Dragon"",""QWDH"",""QWDH"",""Dragon"",""QWDH""]",,
1,1,3,"[-47.5,-0.0]",,"[""QWDH"",""Dragon"",""QWDH"",""Dragon"",""QWDH"",""Dragon"",""QWDH"",""Dragon"",""QWDH"",""Dragon""]",,
1,1,4,"[-36.0,-18.0]",,"[""Dragon"",""TWSH"",""Dragon"",""Dragon"",""Dragon"",""Dragon"",""Dragon"",""Dragon"",""Dragon"",""Dragon""]",,
1,1,5,"[-37.5,-16.0]",,"[""Dragon"",""Dragon"",""Dragon"",""Dragon"",""Dragon"",""QWDH"",""Dragon"",""Dragon"",""Dragon"",""Dragon""]",,
1,1,6,"[-38.5,-14.0]",,"[""Dragon"",""TWSH"",""Dragon"",""Dragon"",""Dragon"",""Dragon"",""Dragon"",""QWDH"",""Dragon"",""Dragon""]",,
1,1,7,"[-40.0,-12.0]",,"[""Dragon"",""Dragon"",""Dragon"",""QWDH"",""QWDH"",""Dragon"",""Dragon"",""Dragon"",""Dragon"",""Dragon""]",,
1,1,8,"[-41.0,-10.0]",,"[""Dragon"",""TWSH"",""Dragon"",""Dragon"",""QWDH"",""Dragon"",""Dragon"",""QWDH"",""Dragon"",""Dragon""]",,
1,1,9,"[-42.5,-8.0]",,"[""QWDH"",""Dragon"",""QWDH"",""Dragon"",""Dragon"",""Dragon"",""QWDH"",""Dragon"",""Dragon"",""Dragon""]",,
1,1,10,"[-43.5,-6.0]",,"[""Dragon"",""QWDH"",""TWSH"",""Dragon"",""Dragon"",""Dragon"",""Dragon"",""QWDH"",""Dragon"",""QWDH""]",,
1,1,11,"[-45.0,-4.0]",,"[""QWDH"",""Dragon"",""Dragon"",""Dragon"",""Dragon"",""Dragon"",""QWDH"",""QWDH"",""Dragon"",""QWDH""]",,
1,1,12,"[-46.0,-2.0]",,"[""QWDH"",""QWDH"",""TWSH"",""Dragon"",""Dragon"",""Dragon"",""QWDH"",""QWDH"",""Dragon"",""Dragon""]",,
1,1,13,"[-36.0,-18.0]",,"[""Dragon"",""TWSH"",""Dragon"",""Dragon"",""Dragon"",""Dragon"",""Dragon"",""Dragon"",""Dragon"",""Dragon""]",,
1,1,14,"[-37.5,-16.0]",,"[""Dragon"",""QWDH"",""Dragon"",""Dragon"",""Dragon"",""Dragon"",""Dragon"",""Dragon"",""Dragon"",""Dragon""]",,
1,1,15,"[-38.5,-14.0]",,"[""QWDH"",""Dragon"",""TWSH"",""Dragon"",""Dragon"",""Dragon"",""Dragon"",""Dragon"",""Dragon"",""Dragon""]",,
1,1,16,"[-40.0,-12.0]",,"[""QWDH"",""Dragon"",""Dragon"",""Dragon"",""Dragon"",""QWDH"",""Dragon"",""Dragon"",""Dragon"",""Dragon""]",,
1,1,17,"[-41.0,-10.0]",,"[""Dragon"",""TWSH"",""Dragon"",""Dragon"",""QWDH"",""Dragon"",""Dragon"",""QWDH"",""Dragon"",""Dragon""]",,
1,1,18,"[-42.5,-8.0]",,"[""QWDH"",""Dragon"",""Dragon"",""Dragon"",""Dragon"",""Dragon"",""Dragon"",""QWDH"",""Dragon"",""QWDH""]",,
1,1,19,"[-43.5,-6.0]",,"[""Dragon"",""TWSH"",""QWDH"",""Dragon"",""Dragon"",""Dragon"",""Dragon"",""QWDH"",""Dragon"",""QWDH""]",,
1,1,20,"[-45.0,-4.0]",,"[""QWDH"",""Dragon"",""Dragon"",""Dragon"",""Dragon"",""Dragon"",""QWDH"",""QWDH"",""Dragon"",""QWDH""]",,
1,1,21,"[-46.0,-2.0]",,"[""Dragon"",""QWDH"",""QWDH"",""QWDH"",""Dragon"",""Dragon"",""Dragon"",""QWDH"",""Dragon"",""TWSH""]",,
1,1,22,"[-35.0,-20.0]",,"[""Dragon"",""Dragon"",""Dragon"",""Dragon"",""Dragon"",""Dragon"",""Dragon"",""Dragon"",""Dragon"",""Dragon""]",,
1,1,23,"[-35.0,-20.0]",,"[""Dragon"",""Dragon"",""Dragon"",""Dragon"",""Dragon"",""Dragon"",""Dragon"",""Dragon"",""Dragon"",""Dragon""]",,
1,1,24,"[-35.0,-20.0]",,"[""Dragon"",""Dragon"",""Dragon"",""Dragon"",""Dragon"",""Dragon"",""Dragon"",""Dragon"",""Dragon"",""Dragon""]",,
1,1,25,"[-35.0,-20.0]",,"[""Dragon"",""Dragon"",""Dragon"",""Dragon"",""Dragon"",""Dragon"",""Dragon"",""Dragon"",""Dragon"",""Dragon""]",,
1,1,26,"[-35.0,-20.0]",,"[""Dragon"",""Dragon"",""Dragon"",""Dragon"",""Dragon"",""Dragon"",""Dragon"",""Dragon"",""Dragon"",""Dragon""]",,
1,1,27,"[-35.0,-20.0]",,"[""Dragon"",""Dragon"",""Dragon"",""Dragon"",""Dragon"",""Dragon"",""Dragon"",""Dragon"",""Dragon"",""Dragon""]",,
1,1,28,"[-35.0,-20.0]",,"[""Dragon"",""Dragon"",""Dragon"",""Dragon"",""Dragon"",""Dragon"",""Dragon"",""Dragon"",""Dragon"",""Dragon""]",,
1,1,29,"[-35.0,-20.0]",,"[""Dragon"",""Dragon"",""Dragon"",""Dragon"",""Dragon"",""Dragon"",""Dragon"",""Dragon"",""Dragon"",""Dragon""]",,
