id,x,y,total_work,remaining_work
0,6.25,7.142857142857143,10.0,10.0
1,18.75,7.142857142857143,10.0,10.0
2,31.25,7.142857142857143,5.0,5.0
3,43.75,7.142857142857143,10.0,10.0
4,56.25,7.142857142857143,15.0,15.0
5,68.75,7.142857142857143,10.0,10.0
6,81.25,7.142857142857143,10.0,10.0
7,93.75,7.142857142857143,10.0,10.0
8,6.25,21.42857142857143,10.0,10.0
9,18.75,21.42857142857143,10.0,10.0
10,31.25,21.42857142857143,15.0,15.0
11,43.75,21.42857142857143,5.0,5.0
12,56.25,21.42857142857143,15.0,15.0
13,68.75,21.42857142857143,5.0,5.0
14,81.25,21.42857142857143,10.0,10.0
15,93.75,21.42857142857143,5.0,5.0
16,6.25,35.714285714285715,5.0,5.0
17,18.75,35.714285714285715,15.0,15.0
18,31.25,35.714285714285715,10.0,10.0
19,43.75,35.714285714285715,15.0,15.0
20,56.25,35.714285714285715,15.0,15.0
21,68.75,35.714285714285715,15.0,15.0
22,81.25,35.714285714285715,5.0,5.0
23,93.75,35.714285714285715,10.0,10.0
24,6.25,50.0,5.0,5.0
25,18.75,50.0,15.0,15.0
26,31.25,50.0,5.0,5.0
27,43.75,50.0,15.0,15.0
28,56.25,50.0,10.0,10.0
29,68.75,50.0,10.0,10.0
30,81.25,50.0,15.0,15.0
31,93.75,50.0,5.0,5.0
32,6.25,64.28571428571429,10.0,10.0
33,18.75,64.28571428571429,10.0,10.0
34,31.25,64.28571428571429,10.0,10.0
35,43.75,64.28571428571429,15.0,15.0
36,56.25,64.28571428571429,15.0,15.0
37,68.75,64.28571428571429,5.0,5.0
38,81.25,64.28571428571429,15.0,15.0
39,93.75,64.28571428571429,10.0,10.0
40,6.25,78.57142857142857,10.0,10.0
41,18.75,78.57142857142857,15.0,15.0
42,31.25,78.57142857142857,10.0,10.0
43,43.75,78.57142857142857,5.0,5.0
44,56.25,78.57142857142857,15.0,15.0
45,68.75,78.57142857142857,5.0,5.0
46,81.25,78.57142857142857,5.0,5.0
47,93.75,78.57142857142857,15.0,15.0
48,6.25,92.85714285714286,10.0,10.0
49,18.75,92.85714285714286,15.0,15.0
